"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Heroin"	"T40.1"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	14	256074	Unreliable
	"Heroin"	"T40.1"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	16	243365	Unreliable
	"Heroin"	"T40.1"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	13	290889	Unreliable
	"Heroin"	"T40.1"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	12	306052	Unreliable
	"Heroin"	"T40.1"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	12	284461	Unreliable
	"Heroin"	"T40.1"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	10	259443	Unreliable
	"Heroin"	"T40.1"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	11	263516	Unreliable
	"Heroin"	"T40.1"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	19	284711	Unreliable
	"Heroin"	"T40.1"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	10	285101	Unreliable
	"Heroin"	"T40.1"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	16	257790	Unreliable
	"Heroin"	"T40.1"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	11	260656	Unreliable
	"Heroin"	"T40.1"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	17	276571	Unreliable
	"Heroin"	"T40.1"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	22	314567	7.0
	"Heroin"	"T40.1"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	12	286041	Unreliable
	"Heroin"	"T40.1"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	11	224376	Unreliable
	"Heroin"	"T40.1"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	25	318604	7.8
	"Heroin"	"T40.1"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	16	291921	Unreliable
	"Heroin"	"T40.1"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	11	266624	Unreliable
	"Heroin"	"T40.1"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	15	246687	Unreliable
	"Heroin"	"T40.1"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	11	257823	Unreliable
	"Heroin"	"T40.1"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	11	243937	Unreliable
	"Heroin"	"T40.1"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"60-64 years "	"60-64"	12	189386	Unreliable
	"Heroin"	"T40.1"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	10	260515	Unreliable
	"Heroin"	"T40.1"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	25	316043	7.9
	"Heroin"	"T40.1"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	17	293688	Unreliable
	"Heroin"	"T40.1"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	15	267501	Unreliable
	"Heroin"	"T40.1"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	10	243588	Unreliable
	"Heroin"	"T40.1"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	20	251584	7.9
	"Heroin"	"T40.1"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	11	240878	Unreliable
	"Heroin"	"T40.1"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	15	225961	Unreliable
	"Heroin"	"T40.1"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	10	252380	Unreliable
	"Heroin"	"T40.1"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	19	310865	Unreliable
	"Heroin"	"T40.1"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	20	296541	6.7
	"Heroin"	"T40.1"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	26	267367	9.7
	"Heroin"	"T40.1"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	15	241097	Unreliable
	"Heroin"	"T40.1"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	16	244113	Unreliable
	"Heroin"	"T40.1"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	24	238062	10.1
	"Heroin"	"T40.1"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	18	226077	Unreliable
	"Heroin"	"T40.1"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"60-64 years "	"60-64"	17	193432	Unreliable
	"Heroin"	"T40.1"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	26	300645	8.6
	"Heroin"	"T40.1"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	40	300418	13.3
	"Heroin"	"T40.1"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	29	264966	10.9
	"Heroin"	"T40.1"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	17	240499	Unreliable
	"Heroin"	"T40.1"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	19	235955	Unreliable
	"Heroin"	"T40.1"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	23	237310	9.7
	"Heroin"	"T40.1"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	24	223598	10.7
	"Heroin"	"T40.1"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	"60-64 years "	"60-64"	19	195537	Unreliable
	"Other opioids"	"T40.2"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	13	312946	Unreliable
	"Other opioids"	"T40.2"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	31	324047	9.6
	"Other opioids"	"T40.2"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	63	307330	20.5
	"Other opioids"	"T40.2"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	46	267468	17.2
	"Other opioids"	"T40.2"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	47	221053	21.3
	"Other opioids"	"T40.2"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	21	180161	11.7
	"Other opioids"	"T40.2"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	16	133738	Unreliable
	"Other opioids"	"T40.2"	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	10	29762	Unreliable
	"Other opioids"	"T40.2"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	26	319826	8.1
	"Other opioids"	"T40.2"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	28	306094	9.1
	"Other opioids"	"T40.2"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	38	271392	14.0
	"Other opioids"	"T40.2"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	25	226901	11.0
	"Other opioids"	"T40.2"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	17	185967	Unreliable
	"Other opioids"	"T40.2"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	11	137679	Unreliable
	"Other opioids"	"T40.2"	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	14	30712	Unreliable
	"Other opioids"	"T40.2"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	21	304992	6.9
	"Other opioids"	"T40.2"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	24	277771	8.6
	"Other opioids"	"T40.2"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	30	233740	12.8
	"Other opioids"	"T40.2"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	21	195424	10.7
	"Other opioids"	"T40.2"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	10	143407	Unreliable
	"Other opioids"	"T40.2"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	25	317806	7.9
	"Other opioids"	"T40.2"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	15	302457	Unreliable
	"Other opioids"	"T40.2"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	44	281536	15.6
	"Other opioids"	"T40.2"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	36	240428	15.0
	"Other opioids"	"T40.2"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	39	196969	19.8
	"Other opioids"	"T40.2"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	13	153864	Unreliable
	"Other opioids"	"T40.2"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	"45-49 years"	"45-49"	11	243806	Unreliable
	"Other opioids"	"T40.2"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	12	312096	Unreliable
	"Other opioids"	"T40.2"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	23	300312	7.7
	"Other opioids"	"T40.2"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	27	284380	9.5
	"Other opioids"	"T40.2"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	32	245557	13.0
	"Other opioids"	"T40.2"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	31	201263	15.4
	"Other opioids"	"T40.2"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	11	302381	Unreliable
	"Other opioids"	"T40.2"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	13	297568	Unreliable
	"Other opioids"	"T40.2"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	28	286507	9.8
	"Other opioids"	"T40.2"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	23	249101	9.2
	"Other opioids"	"T40.2"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	12	207187	Unreliable
	"Other opioids"	"T40.2"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	10	165763	Unreliable
	"Other opioids"	"T40.2"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	11	297115	Unreliable
	"Other opioids"	"T40.2"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	12	289599	Unreliable
	"Other opioids"	"T40.2"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	13	283595	Unreliable
	"Other opioids"	"T40.2"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	25	253276	9.9
	"Other opioids"	"T40.2"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	19	213050	Unreliable
	"Other opioids"	"T40.2"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	16	292347	Unreliable
	"Other opioids"	"T40.2"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	16	279150	Unreliable
	"Other opioids"	"T40.2"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	20	255336	7.8
	"Other opioids"	"T40.2"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	21	217066	9.7
	"Other opioids"	"T40.2"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	12	178126	Unreliable
	"Other opioids"	"T40.2"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	11	286555	Unreliable
	"Other opioids"	"T40.2"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	14	273042	Unreliable
	"Other opioids"	"T40.2"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	23	255940	9.0
	"Other opioids"	"T40.2"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	23	221329	10.4
	"Other opioids"	"T40.2"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	13	178321	Unreliable
	"Other opioids"	"T40.2"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"45-49 years"	"45-49"	10	247881	Unreliable
	"Other opioids"	"T40.2"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	11	293406	Unreliable
	"Other opioids"	"T40.2"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	14	280887	Unreliable
	"Other opioids"	"T40.2"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	15	270440	Unreliable
	"Other opioids"	"T40.2"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	24	257051	9.3
	"Other opioids"	"T40.2"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"60-64 years "	"60-64"	10	140667	Unreliable
	"Other opioids"	"T40.2"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"45-49 years"	"45-49"	14	250167	Unreliable
	"Other opioids"	"T40.2"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"50-54 years"	"50-54"	10	230626	Unreliable
	"Other opioids"	"T40.2"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	12	269645	Unreliable
	"Other opioids"	"T40.2"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	11	274523	Unreliable
	"Other opioids"	"T40.2"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	20	268198	7.5
	"Other opioids"	"T40.2"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	20	258924	7.7
	"Other opioids"	"T40.2"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	25	229816	10.9
	"Other opioids"	"T40.2"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"60-64 years "	"60-64"	11	146919	Unreliable
	"Other opioids"	"T40.2"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	11	284858	Unreliable
	"Other opioids"	"T40.2"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	11	288990	Unreliable
	"Other opioids"	"T40.2"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	11	270726	Unreliable
	"Other opioids"	"T40.2"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	15	268899	Unreliable
	"Other opioids"	"T40.2"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	20	257382	7.8
	"Other opioids"	"T40.2"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	15	233785	Unreliable
	"Other opioids"	"T40.2"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	19	194344	Unreliable
	"Other opioids"	"T40.2"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	17	293256	Unreliable
	"Other opioids"	"T40.2"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	17	275359	Unreliable
	"Other opioids"	"T40.2"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	11	271694	Unreliable
