Multiple Cause of death,Multiple Cause of death Code,Year,Year Code,Gender,Gender Code,Race,Race Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,socioec quintile,age_midpoint
Heroin,T40.1,1999,1999,Female,F,White,2106-3,45-49 years,45-49,5,1632050,0.3063631628932937,1,47.0
Heroin,T40.1,1999,1999,Female,F,White,2106-3,50-54 years,50-54,5,1490243,0.33551575145798374,1,52.0
Heroin,T40.1,1999,1999,Female,F,White,2106-3,60-64 years ,60-64,5,1110748,0.45014710807491887,1,62.0
Heroin,T40.1,1999,1999,Male,M,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,35256,14.18198320853188,1,32.0
Heroin,T40.1,1999,1999,Male,M,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,35281,14.171933902100282,1,42.0
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,20-24 years,20-24,5,368480,1.3569257490230135,1,22.0
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,25-29 years,25-29,5,340672,1.4676873943265076,1,27.0
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,30-34 years,30-34,5,335413,1.4906995256594109,1,32.0
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,35-39 years,35-39,5,357432,1.3988674768907092,1,37.0
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,45-49 years,45-49,5,290513,1.7210933762000324,1,47.0
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,50-54 years,50-54,5,221851,2.2537649142893206,1,52.0
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,55-59 years,55-59,5,161102,3.1036237911385336,1,57.0
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,60-64 years ,60-64,5,130357,3.8356206417760457,1,62.0
Heroin,T40.1,1999,1999,Male,M,White,2106-3,10-14 years,10-14,5,1745706,0.2864170713739885,1,12.0
Heroin,T40.1,1999,1999,Male,M,White,2106-3,15-19 years,15-19,5,1793867,0.2787274641877018,1,17.0
Heroin,T40.1,1999,1999,Male,M,White,2106-3,20-24 years,20-24,5,1522475,0.3284126176127687,1,22.0
Heroin,T40.1,1999,1999,Male,M,White,2106-3,35-39 years,35-39,31,1798937,1.72324,1,37.0
Heroin,T40.1,1999,1999,Male,M,White,2106-3,40-44 years,40-44,35,1785666,1.960053,1,42.0
Heroin,T40.1,1999,1999,Male,M,White,2106-3,45-49 years,45-49,22,1632081,1.347972,1,47.0
Heroin,T40.1,1999,1999,Male,M,White,2106-3,55-59 years,55-59,5,1196089,0.4180290931527671,1,57.0
Heroin,T40.1,1999,1999,Male,M,White,2106-3,60-64 years ,60-64,5,1032570,0.48422867214813525,1,62.0
Heroin,T40.1,1999,1999,Male,M,White,2106-3,65-69 years,65-69,5,907460,0.5509884733211381,1,67.0
Heroin,T40.1,2000,2000,Female,F,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,37016,13.507672357899287,1,32.0
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,25-29 years,25-29,5,350864,1.425053582014684,1,27.0
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,30-34 years,30-34,5,356490,1.4025638867850432,1,32.0
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,35-39 years,35-39,5,388670,1.2864383667378496,1,37.0
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,40-44 years,40-44,5,386111,1.2949644014286046,1,42.0
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,45-49 years,45-49,5,337032,1.4835386550831968,1,47.0
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,55-59 years,55-59,5,201650,2.479543763947434,1,57.0
Heroin,T40.1,2000,2000,Female,F,White,2106-3,25-29 years,25-29,5,1455114,0.3436156892174771,1,27.0
Heroin,T40.1,2000,2000,Female,F,White,2106-3,30-34 years,30-34,5,1522292,0.32845209723233126,1,32.0
Heroin,T40.1,2000,2000,Female,F,White,2106-3,35-39 years,35-39,5,1740799,0.2872244297015336,1,37.0
Heroin,T40.1,2000,2000,Female,F,White,2106-3,40-44 years,40-44,5,1773746,0.28188928967281673,1,42.0
Heroin,T40.1,2000,2000,Female,F,White,2106-3,45-49 years,45-49,5,1651947,0.30267314871481954,1,47.0
Heroin,T40.1,2000,2000,Female,F,White,2106-3,50-54 years,50-54,5,1529318,0.3269431210513445,1,52.0
Heroin,T40.1,2000,2000,Female,F,White,2106-3,55-59 years,55-59,5,1283282,0.38962597464937554,1,57.0
Heroin,T40.1,2000,2000,Male,M,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,37193,13.443389885193449,1,32.0
Heroin,T40.1,2000,2000,Male,M,American Indian or Alaska Native,1002-5,35-39 years,35-39,5,40699,12.285314135482444,1,37.0
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,15-19 years,15-19,5,434549,1.1506182271734602,1,17.0
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,20-24 years,20-24,5,375763,1.3306259530608389,1,22.0
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,30-34 years,30-34,5,334412,1.4951616568783417,1,32.0
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,35-39 years,35-39,5,356703,1.401726366192603,1,37.0
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,45-49 years,45-49,20,299299,6.682281,1,47.0
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,50-54 years,50-54,5,235181,2.12602208511742,1,52.0
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,55-59 years,55-59,5,165691,3.017665413329632,1,57.0
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,60-64 years ,60-64,5,132774,3.7657975205989125,1,62.0
Heroin,T40.1,2000,2000,Male,M,White,2106-3,15-19 years,15-19,5,1788639,0.2795421546773832,1,17.0
Heroin,T40.1,2000,2000,Male,M,White,2106-3,20-24 years,20-24,5,1545963,0.32342300559586484,1,22.0
Heroin,T40.1,2000,2000,Male,M,White,2106-3,35-39 years,35-39,26,1772824,1.466587,1,37.0
Heroin,T40.1,2000,2000,Male,M,White,2106-3,40-44 years,40-44,45,1794061,2.508276,1,42.0
Heroin,T40.1,2000,2000,Male,M,White,2106-3,45-49 years,45-49,33,1656297,1.992396,1,47.0
Heroin,T40.1,2000,2000,Male,M,White,2106-3,55-59 years,55-59,5,1223277,0.4087381680518803,1,57.0
Heroin,T40.1,2000,2000,Male,M,White,2106-3,80-84 years,80-84,5,365444,1.3681986843401452,1,82.0
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,30-34 years,30-34,5,352768,1.4173621190130625,1,32.0
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,35-39 years,35-39,5,381453,1.3107774745512553,1,37.0
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,40-44 years,40-44,5,388892,1.285704000082285,1,42.0
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,45-49 years,45-49,5,346938,1.4411796920487234,1,47.0
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,50-54 years,50-54,5,291082,1.7177290248108779,1,52.0
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,70-74 years,70-74,5,139591,3.5818928154393905,1,72.0
Heroin,T40.1,2001,2001,Female,F,White,2106-3,15-19 years,15-19,5,1647488,0.3034923471369746,1,17.0
Heroin,T40.1,2001,2001,Female,F,White,2106-3,20-24 years,20-24,5,1506262,0.33194756290738264,1,22.0
Heroin,T40.1,2001,2001,Female,F,White,2106-3,25-29 years,25-29,5,1390973,0.3594606077903741,1,27.0
Heroin,T40.1,2001,2001,Female,F,White,2106-3,30-34 years,30-34,5,1517589,0.32946996848290283,1,32.0
Heroin,T40.1,2001,2001,Female,F,White,2106-3,35-39 years,35-39,5,1682038,0.2972584448151588,1,37.0
Heroin,T40.1,2001,2001,Female,F,White,2106-3,40-44 years,40-44,5,1783717,0.28031352507152196,1,42.0
Heroin,T40.1,2001,2001,Female,F,White,2106-3,45-49 years,45-49,5,1683696,0.29696572302838514,1,47.0
Heroin,T40.1,2001,2001,Female,F,White,2106-3,55-59 years,55-59,5,1306069,0.38282816604635744,1,57.0
Heroin,T40.1,2001,2001,Male,M,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,37220,13.433637829124129,1,32.0
Heroin,T40.1,2001,2001,Male,M,American Indian or Alaska Native,1002-5,45-49 years,45-49,5,33211,15.055252777694138,1,47.0
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,20-24 years,20-24,5,391320,1.2777266687110294,1,22.0
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,25-29 years,25-29,5,326646,1.530709085676849,1,27.0
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,30-34 years,30-34,5,330245,1.5140274644582052,1,32.0
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,35-39 years,35-39,5,351718,1.4215934356501516,1,37.0
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,50-54 years,50-54,5,255906,1.9538424265159864,1,52.0
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,55-59 years,55-59,5,172891,2.891995534758894,1,57.0
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,60-64 years ,60-64,5,136105,3.6736343264391462,1,62.0
Heroin,T40.1,2001,2001,Male,M,White,2106-3,15-19 years,15-19,5,1780038,0.28089287981492533,1,17.0
Heroin,T40.1,2001,2001,Male,M,White,2106-3,35-39 years,35-39,30,1718583,1.745624,1,37.0
Heroin,T40.1,2001,2001,Male,M,White,2106-3,40-44 years,40-44,31,1802965,1.71939,1,42.0
Heroin,T40.1,2001,2001,Male,M,White,2106-3,45-49 years,45-49,31,1689526,1.834834,1,47.0
Heroin,T40.1,2001,2001,Male,M,White,2106-3,55-59 years,55-59,5,1251215,0.3996115775466247,1,57.0
Heroin,T40.1,2001,2001,Male,M,White,2106-3,60-64 years ,60-64,5,1061274,0.4711318660402497,1,62.0
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,20-24 years,20-24,5,394130,1.2686169537969705,1,22.0
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,30-34 years,30-34,5,349912,1.4289307025766478,1,32.0
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,35-39 years,35-39,5,372328,1.3429019574138932,1,37.0
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,40-44 years,40-44,5,386558,1.293466957093114,1,42.0
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,45-49 years,45-49,5,357427,1.398887045466627,1,47.0
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,50-54 years,50-54,5,300639,1.6631242120949046,1,52.0
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,55-59 years,55-59,5,221182,2.260581783327757,1,57.0
Heroin,T40.1,2002,2002,Female,F,White,2106-3,15-19 years,15-19,5,1635935,0.3056356151069572,1,17.0
Heroin,T40.1,2002,2002,Female,F,White,2106-3,20-24 years,20-24,5,1539906,0.3246951437295523,1,22.0
Heroin,T40.1,2002,2002,Female,F,White,2106-3,25-29 years,25-29,5,1367080,0.36574304356731135,1,27.0
Heroin,T40.1,2002,2002,Female,F,White,2106-3,30-34 years,30-34,5,1515307,0.3299661388748287,1,32.0
Heroin,T40.1,2002,2002,Female,F,White,2106-3,35-39 years,35-39,5,1634978,0.30581451248885305,1,37.0
Heroin,T40.1,2002,2002,Female,F,White,2106-3,40-44 years,40-44,5,1774473,0.28177379988312024,1,42.0
Heroin,T40.1,2002,2002,Female,F,White,2106-3,45-49 years,45-49,5,1718317,0.29098239731085707,1,47.0
Heroin,T40.1,2002,2002,Female,F,White,2106-3,50-54 years,50-54,5,1589053,0.31465281523020316,1,52.0
Heroin,T40.1,2002,2002,Male,M,American Indian or Alaska Native,1002-5,55-59 years,55-59,5,21850,22.883295194508012,1,57.0
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,20-24 years,20-24,5,402677,1.2416899897436406,1,22.0
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,30-34 years,30-34,5,329608,1.5169534720031068,1,32.0
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,35-39 years,35-39,5,343861,1.454075920211946,1,37.0
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,40-44 years,40-44,5,351460,1.4226369999430946,1,42.0
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,55-59 years,55-59,5,185746,2.6918480074941047,1,57.0
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,60-64 years ,60-64,5,140153,3.5675297710359395,1,62.0
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,65-69 years,65-69,5,114665,4.360528496053721,1,67.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,15-19 years,15-19,5,1772412,0.2821014527096409,1,17.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,20-24 years,20-24,21,1631419,1.287223,1,22.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,30-34 years,30-34,20,1571556,1.272624,1,32.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,35-39 years,35-39,23,1673046,1.374738,1,37.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,40-44 years,40-44,33,1795425,1.838005,1,42.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,45-49 years,45-49,32,1723758,1.856409,1,47.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,55-59 years,55-59,5,1342279,0.3725007990142139,1,57.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,60-64 years ,60-64,5,1095342,0.4564784332199441,1,62.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,65-69 years,65-69,5,929270,0.5380567542264358,1,67.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,70-74 years,70-74,5,797643,0.6268468475245191,1,72.0
Heroin,T40.1,2002,2002,Male,M,White,2106-3,80-84 years,80-84,5,390210,1.2813613182645243,1,82.0
Heroin,T40.1,2003,2003,Female,F,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,43167,11.582922139597377,1,42.0
Heroin,T40.1,2003,2003,Female,F,Black or African American,2054-5,25-29 years,25-29,5,330059,1.5148806728493995,1,27.0
Heroin,T40.1,2003,2003,Female,F,Black or African American,2054-5,30-34 years,30-34,5,346266,1.4439765960273314,1,32.0
Heroin,T40.1,2003,2003,Female,F,Black or African American,2054-5,35-39 years,35-39,5,362880,1.3778659611992945,1,37.0
Heroin,T40.1,2003,2003,Female,F,Black or African American,2054-5,45-49 years,45-49,5,365362,1.3685057559352094,1,47.0
Heroin,T40.1,2003,2003,Female,F,Black or African American,2054-5,50-54 years,50-54,5,310531,1.610145202894397,1,52.0
Heroin,T40.1,2003,2003,Female,F,White,2106-3,15-19 years,15-19,5,1636570,0.30551702646388484,1,17.0
Heroin,T40.1,2003,2003,Female,F,White,2106-3,20-24 years,20-24,5,1558526,0.3208159504557511,1,22.0
Heroin,T40.1,2003,2003,Female,F,White,2106-3,25-29 years,25-29,5,1363356,0.36674206883601934,1,27.0
Heroin,T40.1,2003,2003,Female,F,White,2106-3,30-34 years,30-34,5,1505209,0.3321797836712377,1,32.0
Heroin,T40.1,2003,2003,Female,F,White,2106-3,35-39 years,35-39,5,1588180,0.31482577541588486,1,37.0
Heroin,T40.1,2003,2003,Female,F,White,2106-3,40-44 years,40-44,5,1765457,0.2832127885301087,1,42.0
Heroin,T40.1,2003,2003,Female,F,White,2106-3,45-49 years,45-49,5,1744822,0.2865621822741804,1,47.0
Heroin,T40.1,2003,2003,Female,F,White,2106-3,50-54 years,50-54,5,1608226,0.3109015772658818,1,52.0
Heroin,T40.1,2003,2003,Male,M,American Indian or Alaska Native,1002-5,35-39 years,35-39,5,39767,12.573239117861544,1,37.0
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,20-24 years,20-24,5,409338,1.2214844456170695,1,22.0
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,25-29 years,25-29,5,321778,1.5538663302028106,1,27.0
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,30-34 years,30-34,5,327386,1.5272491798671906,1,32.0
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,35-39 years,35-39,5,336138,1.4874843070405608,1,37.0
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,40-44 years,40-44,5,349885,1.4290409706046272,1,42.0
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,50-54 years,50-54,5,274568,1.8210425104163632,1,52.0
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,55-59 years,55-59,5,197876,2.526834987567972,1,57.0
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,60-64 years ,60-64,5,145762,3.4302493105198884,1,62.0
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,65-69 years,65-69,5,116351,4.297341664446373,1,67.0
Heroin,T40.1,2003,2003,Male,M,White,2106-3,15-19 years,15-19,5,1766521,0.2830422055554392,1,17.0
Heroin,T40.1,2003,2003,Male,M,White,2106-3,20-24 years,20-24,5,1652510,0.302570029833405,1,22.0
Heroin,T40.1,2003,2003,Male,M,White,2106-3,30-34 years,30-34,22,1557602,1.412428,1,32.0
Heroin,T40.1,2003,2003,Male,M,White,2106-3,35-39 years,35-39,24,1628860,1.473423,1,37.0
Heroin,T40.1,2003,2003,Male,M,White,2106-3,40-44 years,40-44,43,1785581,2.40818,1,42.0
Heroin,T40.1,2003,2003,Male,M,White,2106-3,45-49 years,45-49,37,1753347,2.11025,1,47.0
Heroin,T40.1,2003,2003,Male,M,White,2106-3,50-54 years,50-54,24,1594640,1.505042,1,52.0
Heroin,T40.1,2003,2003,Male,M,White,2106-3,55-59 years,55-59,5,1389953,0.3597243935586311,1,57.0
Heroin,T40.1,2003,2003,Male,M,White,2106-3,60-64 years ,60-64,5,1142842,0.43750579695180963,1,62.0
Heroin,T40.1,2003,2003,Male,M,White,2106-3,65-69 years,65-69,5,952425,0.5249757198729559,1,67.0
Heroin,T40.1,2004,2004,Female,F,Black or African American,2054-5,40-44 years,40-44,5,382779,1.3062367580248655,1,42.0
Heroin,T40.1,2004,2004,Female,F,Black or African American,2054-5,45-49 years,45-49,5,370394,1.3499138754947435,1,47.0
Heroin,T40.1,2004,2004,Female,F,Black or African American,2054-5,50-54 years,50-54,5,321216,1.5565849770870692,1,52.0
Heroin,T40.1,2004,2004,Female,F,Black or African American,2054-5,55-59 years,55-59,5,247772,2.0179842758665223,1,57.0
Heroin,T40.1,2004,2004,Female,F,White,2106-3,20-24 years,20-24,5,1560127,0.32048672960598723,1,22.0
Heroin,T40.1,2004,2004,Female,F,White,2106-3,25-29 years,25-29,5,1381637,0.3618895556502902,1,27.0
Heroin,T40.1,2004,2004,Female,F,White,2106-3,30-34 years,30-34,5,1481403,0.3375178800096935,1,32.0
Heroin,T40.1,2004,2004,Female,F,White,2106-3,35-39 years,35-39,5,1548536,0.32288561583327735,1,37.0
Heroin,T40.1,2004,2004,Female,F,White,2106-3,40-44 years,40-44,5,1758221,0.2843783574419826,1,42.0
Heroin,T40.1,2004,2004,Female,F,White,2106-3,45-49 years,45-49,5,1759268,0.2842091142452429,1,47.0
Heroin,T40.1,2004,2004,Female,F,White,2106-3,50-54 years,50-54,5,1636726,0.30548790695571526,1,52.0
Heroin,T40.1,2004,2004,Female,F,White,2106-3,55-59 years,55-59,5,1492511,0.3350059061541255,1,57.0
Heroin,T40.1,2004,2004,Female,F,White,2106-3,60-64 years ,60-64,5,1255001,0.3984060570469665,1,62.0
Heroin,T40.1,2004,2004,Male,M,American Indian or Alaska Native,1002-5,35-39 years,35-39,5,39591,12.629132883736201,1,37.0
Heroin,T40.1,2004,2004,Male,M,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,41975,11.911852293031567,1,42.0
Heroin,T40.1,2004,2004,Male,M,American Indian or Alaska Native,1002-5,50-54 years,50-54,5,31889,15.679387876697295,1,52.0
Heroin,T40.1,2004,2004,Male,M,Asian or Pacific Islander,A-PI,40-44 years,40-44,5,31841,15.703024402499922,1,42.0
Heroin,T40.1,2004,2004,Male,M,Black or African American,2054-5,20-24 years,20-24,5,413304,1.2097632735226371,1,22.0
Heroin,T40.1,2004,2004,Male,M,Black or African American,2054-5,25-29 years,25-29,5,327242,1.5279212326046168,1,27.0
Heroin,T40.1,2004,2004,Male,M,Black or African American,2054-5,30-34 years,30-34,5,323923,1.54357671421912,1,32.0
Heroin,T40.1,2004,2004,Male,M,Black or African American,2054-5,35-39 years,35-39,5,327439,1.5270019759405569,1,37.0
Heroin,T40.1,2004,2004,Male,M,Black or African American,2054-5,40-44 years,40-44,5,348864,1.4332232617868281,1,42.0
Heroin,T40.1,2004,2004,Male,M,Black or African American,2054-5,55-59 years,55-59,5,213041,2.3469660769523237,1,57.0
Heroin,T40.1,2004,2004,Male,M,Black or African American,2054-5,60-64 years ,60-64,5,151381,3.3029244092719696,1,62.0
Heroin,T40.1,2004,2004,Male,M,Black or African American,2054-5,65-69 years,65-69,5,118254,4.228186784379387,1,67.0
Heroin,T40.1,2004,2004,Male,M,Black or African American,2054-5,70-74 years,70-74,5,91481,5.465615810933418,1,72.0
Heroin,T40.1,2004,2004,Male,M,White,2106-3,15-19 years,15-19,5,1771286,0.2822807835662902,1,17.0
Heroin,T40.1,2004,2004,Male,M,White,2106-3,25-29 years,25-29,20,1451900,1.377505,1,27.0
Heroin,T40.1,2004,2004,Male,M,White,2106-3,35-39 years,35-39,21,1595444,1.316248,1,37.0
Heroin,T40.1,2004,2004,Male,M,White,2106-3,40-44 years,40-44,37,1781874,2.076466,1,42.0
Heroin,T40.1,2004,2004,Male,M,White,2106-3,45-49 years,45-49,30,1768006,1.696827,1,47.0
Heroin,T40.1,2004,2004,Male,M,White,2106-3,50-54 years,50-54,22,1622185,1.356196,1,52.0
Heroin,T40.1,2004,2004,Male,M,White,2106-3,55-59 years,55-59,5,1448025,0.3452979057682015,1,57.0
Heroin,T40.1,2004,2004,Male,M,White,2106-3,70-74 years,70-74,5,789313,0.6334622640194701,1,72.0
Heroin,T40.1,2005,2005,Female,F,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,44440,11.25112511251125,1,42.0
Heroin,T40.1,2005,2005,Female,F,Asian or Pacific Islander,A-PI,40-44 years,40-44,5,35828,13.95556547951323,1,42.0
Heroin,T40.1,2005,2005,Female,F,Black or African American,2054-5,20-24 years,20-24,5,390604,1.280068816499575,1,22.0
Heroin,T40.1,2005,2005,Female,F,Black or African American,2054-5,25-29 years,25-29,5,340979,1.466365963886339,1,27.0
Heroin,T40.1,2005,2005,Female,F,Black or African American,2054-5,30-34 years,30-34,5,332221,1.5050222592792148,1,32.0
Heroin,T40.1,2005,2005,Female,F,Black or African American,2054-5,35-39 years,35-39,5,342721,1.4589126432287487,1,37.0
Heroin,T40.1,2005,2005,Female,F,Black or African American,2054-5,40-44 years,40-44,5,376376,1.328458775267286,1,42.0
Heroin,T40.1,2005,2005,Female,F,Black or African American,2054-5,45-49 years,45-49,5,375279,1.332342070832634,1,47.0
Heroin,T40.1,2005,2005,Female,F,Black or African American,2054-5,50-54 years,50-54,5,330125,1.5145778114350625,1,52.0
Heroin,T40.1,2005,2005,Female,F,Black or African American,2054-5,55-59 years,55-59,5,265855,1.8807244550600892,1,57.0
Heroin,T40.1,2005,2005,Female,F,White,2106-3,15-19 years,15-19,5,1661958,0.30084996131069497,1,17.0
Heroin,T40.1,2005,2005,Female,F,White,2106-3,20-24 years,20-24,5,1547271,0.32314959693550777,1,22.0
Heroin,T40.1,2005,2005,Female,F,White,2106-3,25-29 years,25-29,5,1413839,0.3536470559943529,1,27.0
Heroin,T40.1,2005,2005,Female,F,White,2106-3,30-34 years,30-34,5,1448620,0.3451560795791857,1,32.0
Heroin,T40.1,2005,2005,Female,F,White,2106-3,35-39 years,35-39,5,1530719,0.32664388434454655,1,37.0
Heroin,T40.1,2005,2005,Female,F,White,2106-3,40-44 years,40-44,5,1734662,0.2882405909623892,1,42.0
Heroin,T40.1,2005,2005,Female,F,White,2106-3,45-49 years,45-49,5,1775229,0.2816538035374591,1,47.0
Heroin,T40.1,2005,2005,Female,F,White,2106-3,50-54 years,50-54,5,1669085,0.29956533070514685,1,52.0
