Multiple Cause of death,Multiple Cause of death Code,Year,Year Code,Gender,Gender Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,socioec quintile,Race,Race Code,age_midpoint
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,40-44 years,40-44,13.0,27126.0,Unreliable,4.0,Black or African American,2054-5,42.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,45-49 years,45-49,11.0,24925.0,Unreliable,4.0,Black or African American,2054-5,47.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,50-54 years,50-54,16.0,28259.0,Unreliable,4.0,Black or African American,2054-5,52.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,55-59 years,55-59,23.0,29254.0,78.6,4.0,Black or African American,2054-5,57.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,60-64 years ,60-64,18.0,27161.0,Unreliable,4.0,Black or African American,2054-5,62.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,15-19 years,15-19,26.0,227089.0,11.4,4.0,White,2106-3,17.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,20-24 years,20-24,91.0,229688.0,39.6,4.0,White,2106-3,22.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,25-29 years,25-29,146.0,271509.0,53.8,4.0,White,2106-3,27.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,30-34 years,30-34,149.0,288549.0,51.6,4.0,White,2106-3,32.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,35-39 years,35-39,127.0,263352.0,48.2,4.0,White,2106-3,37.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,40-44 years,40-44,95.0,241393.0,39.4,4.0,White,2106-3,42.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,45-49 years,45-49,67.0,230527.0,29.1,4.0,White,2106-3,47.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,50-54 years,50-54,69.0,240500.0,28.7,4.0,White,2106-3,52.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,55-59 years,55-59,57.0,224831.0,25.4,4.0,White,2106-3,57.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,60-64 years ,60-64,36.0,199234.0,18.1,4.0,White,2106-3,62.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,65-69 years,65-69,17.0,157233.0,Unreliable,4.0,White,2106-3,67.0
Heroin,T40.1,1999.0,1999.0,Male,M,30-34 years,30-34,25.0,324047.0,7.7,4.0,White,2106-3,32.0
Heroin,T40.1,1999.0,1999.0,Male,M,35-39 years,35-39,45.0,307330.0,14.6,4.0,White,2106-3,37.0
Heroin,T40.1,1999.0,1999.0,Male,M,40-44 years,40-44,37.0,267468.0,13.8,4.0,White,2106-3,42.0
Heroin,T40.1,1999.0,1999.0,Male,M,45-49 years,45-49,31.0,221053.0,14.0,4.0,White,2106-3,47.0
Heroin,T40.1,1999.0,1999.0,Male,M,50-54 years,50-54,15.0,180161.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,1999.0,1999.0,Male,M,55-59 years,55-59,17.0,133738.0,Unreliable,4.0,White,2106-3,57.0
Heroin,T40.1,2000.0,2000.0,Male,M,30-34 years,30-34,18.0,319826.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2000.0,2000.0,Male,M,35-39 years,35-39,26.0,306094.0,8.5,4.0,White,2106-3,37.0
Heroin,T40.1,2000.0,2000.0,Male,M,40-44 years,40-44,23.0,271392.0,8.5,4.0,White,2106-3,42.0
Heroin,T40.1,2000.0,2000.0,Male,M,45-49 years,45-49,21.0,226901.0,9.3,4.0,White,2106-3,47.0
Heroin,T40.1,2000.0,2000.0,Male,M,50-54 years,50-54,12.0,185967.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2001.0,2001.0,Male,M,45-49 years,45-49,10.0,30712.0,Unreliable,4.0,Black or African American,2054-5,47.0
Heroin,T40.1,2001.0,2001.0,Male,M,35-39 years,35-39,19.0,304992.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2001.0,2001.0,Male,M,40-44 years,40-44,18.0,277771.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2001.0,2001.0,Male,M,45-49 years,45-49,21.0,233740.0,9.0,4.0,White,2106-3,47.0
Heroin,T40.1,2001.0,2001.0,Male,M,50-54 years,50-54,17.0,195424.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2002.0,2002.0,Male,M,35-39 years,35-39,11.0,302457.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2002.0,2002.0,Male,M,40-44 years,40-44,30.0,281536.0,10.7,4.0,White,2106-3,42.0
Heroin,T40.1,2002.0,2002.0,Male,M,45-49 years,45-49,33.0,240428.0,13.7,4.0,White,2106-3,47.0
Heroin,T40.1,2002.0,2002.0,Male,M,50-54 years,50-54,33.0,196969.0,16.8,4.0,White,2106-3,52.0
Heroin,T40.1,2003.0,2003.0,Male,M,30-34 years,30-34,10.0,312096.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2003.0,2003.0,Male,M,35-39 years,35-39,19.0,300312.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2003.0,2003.0,Male,M,40-44 years,40-44,20.0,284380.0,7.0,4.0,White,2106-3,42.0
Heroin,T40.1,2003.0,2003.0,Male,M,45-49 years,45-49,20.0,245557.0,8.1,4.0,White,2106-3,47.0
Heroin,T40.1,2003.0,2003.0,Male,M,50-54 years,50-54,25.0,201263.0,12.4,4.0,White,2106-3,52.0
Heroin,T40.1,2004.0,2004.0,Male,M,30-34 years,30-34,18.0,302381.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2004.0,2004.0,Male,M,35-39 years,35-39,10.0,297568.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2004.0,2004.0,Male,M,40-44 years,40-44,23.0,286507.0,8.0,4.0,White,2106-3,42.0
Heroin,T40.1,2004.0,2004.0,Male,M,45-49 years,45-49,21.0,249101.0,8.4,4.0,White,2106-3,47.0
Heroin,T40.1,2004.0,2004.0,Male,M,50-54 years,50-54,10.0,207187.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2005.0,2005.0,Male,M,30-34 years,30-34,12.0,289599.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2005.0,2005.0,Male,M,35-39 years,35-39,14.0,295965.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2005.0,2005.0,Male,M,40-44 years,40-44,11.0,283595.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2005.0,2005.0,Male,M,45-49 years,45-49,21.0,253276.0,8.3,4.0,White,2106-3,47.0
Heroin,T40.1,2005.0,2005.0,Male,M,50-54 years,50-54,16.0,213050.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2006.0,2006.0,Male,M,35-39 years,35-39,14.0,292347.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2006.0,2006.0,Male,M,40-44 years,40-44,12.0,279150.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2006.0,2006.0,Male,M,45-49 years,45-49,18.0,255336.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2006.0,2006.0,Male,M,50-54 years,50-54,18.0,217066.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2006.0,2006.0,Male,M,55-59 years,55-59,13.0,178126.0,Unreliable,4.0,White,2106-3,57.0
Heroin,T40.1,2007.0,2007.0,Male,M,35-39 years,35-39,11.0,286555.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2007.0,2007.0,Male,M,40-44 years,40-44,19.0,273042.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2007.0,2007.0,Male,M,45-49 years,45-49,21.0,255940.0,8.2,4.0,White,2106-3,47.0
Heroin,T40.1,2007.0,2007.0,Male,M,50-54 years,50-54,21.0,221329.0,9.5,4.0,White,2106-3,52.0
Heroin,T40.1,2008.0,2008.0,Male,M,35-39 years,35-39,13.0,280887.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2008.0,2008.0,Male,M,40-44 years,40-44,16.0,270440.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2008.0,2008.0,Male,M,45-49 years,45-49,21.0,257051.0,8.2,4.0,White,2106-3,47.0
Heroin,T40.1,2008.0,2008.0,Male,M,50-54 years,50-54,15.0,225904.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2009.0,2009.0,Male,M,30-34 years,30-34,10.0,269645.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2009.0,2009.0,Male,M,35-39 years,35-39,12.0,274523.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2009.0,2009.0,Male,M,40-44 years,40-44,16.0,268198.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2009.0,2009.0,Male,M,45-49 years,45-49,19.0,258924.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2009.0,2009.0,Male,M,50-54 years,50-54,16.0,229816.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2010.0,2010.0,Male,M,20-24 years,20-24,15.0,284858.0,Unreliable,4.0,White,2106-3,22.0
Heroin,T40.1,2010.0,2010.0,Male,M,30-34 years,30-34,10.0,270726.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2010.0,2010.0,Male,M,40-44 years,40-44,15.0,268899.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2010.0,2010.0,Male,M,45-49 years,45-49,14.0,257382.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2010.0,2010.0,Male,M,50-54 years,50-54,11.0,233785.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2010.0,2010.0,Male,M,55-59 years,55-59,10.0,194344.0,Unreliable,4.0,White,2106-3,57.0
Heroin,T40.1,2011.0,2011.0,Male,M,25-29 years,25-29,12.0,293256.0,Unreliable,4.0,White,2106-3,27.0
Heroin,T40.1,2011.0,2011.0,Male,M,30-34 years,30-34,15.0,275359.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2011.0,2011.0,Male,M,35-39 years,35-39,12.0,261239.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2011.0,2011.0,Male,M,40-44 years,40-44,10.0,271694.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2011.0,2011.0,Male,M,45-49 years,45-49,19.0,256014.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2011.0,2011.0,Male,M,50-54 years,50-54,15.0,238167.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2011.0,2011.0,Male,M,55-59 years,55-59,15.0,201115.0,Unreliable,4.0,White,2106-3,57.0
Heroin,T40.1,2012.0,2012.0,Male,M,40-44 years,40-44,16.0,270561.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2012.0,2012.0,Male,M,45-49 years,45-49,12.0,255034.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2012.0,2012.0,Male,M,55-59 years,55-59,13.0,206796.0,Unreliable,4.0,White,2106-3,57.0
Heroin,T40.1,2013.0,2013.0,Male,M,20-24 years,20-24,15.0,293986.0,Unreliable,4.0,White,2106-3,22.0
Heroin,T40.1,2013.0,2013.0,Male,M,25-29 years,25-29,15.0,301538.0,Unreliable,4.0,White,2106-3,27.0
Heroin,T40.1,2013.0,2013.0,Male,M,30-34 years,30-34,16.0,282554.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2013.0,2013.0,Male,M,35-39 years,35-39,12.0,258752.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2013.0,2013.0,Male,M,45-49 years,45-49,14.0,256074.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2013.0,2013.0,Male,M,50-54 years,50-54,16.0,243365.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2014.0,2014.0,Male,M,20-24 years,20-24,13.0,290889.0,Unreliable,4.0,White,2106-3,22.0
Heroin,T40.1,2014.0,2014.0,Male,M,25-29 years,25-29,12.0,306052.0,Unreliable,4.0,White,2106-3,27.0
Heroin,T40.1,2014.0,2014.0,Male,M,30-34 years,30-34,12.0,284461.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2014.0,2014.0,Male,M,35-39 years,35-39,10.0,259443.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2014.0,2014.0,Male,M,40-44 years,40-44,11.0,263516.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2015.0,2015.0,Male,M,20-24 years,20-24,19.0,284711.0,Unreliable,4.0,White,2106-3,22.0
Heroin,T40.1,2015.0,2015.0,Male,M,30-34 years,30-34,10.0,285101.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2015.0,2015.0,Male,M,40-44 years,40-44,16.0,257790.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2015.0,2015.0,Male,M,45-49 years,45-49,11.0,260656.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2016.0,2016.0,Male,M,20-24 years,20-24,17.0,276571.0,Unreliable,4.0,White,2106-3,22.0
Heroin,T40.1,2016.0,2016.0,Male,M,25-29 years,25-29,22.0,314567.0,7.0,4.0,White,2106-3,27.0
Heroin,T40.1,2016.0,2016.0,Male,M,30-34 years,30-34,12.0,286041.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2016.0,2016.0,Male,M,55-59 years,55-59,11.0,224376.0,Unreliable,4.0,White,2106-3,57.0
Heroin,T40.1,2017.0,2017.0,Male,M,25-29 years,25-29,25.0,318604.0,7.8,4.0,White,2106-3,27.0
Heroin,T40.1,2017.0,2017.0,Male,M,30-34 years,30-34,16.0,291921.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2017.0,2017.0,Male,M,35-39 years,35-39,11.0,266624.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2017.0,2017.0,Male,M,40-44 years,40-44,15.0,246687.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2017.0,2017.0,Male,M,45-49 years,45-49,11.0,257823.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2017.0,2017.0,Male,M,50-54 years,50-54,11.0,243937.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2017.0,2017.0,Male,M,60-64 years ,60-64,12.0,189386.0,Unreliable,4.0,White,2106-3,62.0
Heroin,T40.1,2018.0,2018.0,Male,M,20-24 years,20-24,10.0,260515.0,Unreliable,4.0,White,2106-3,22.0
Heroin,T40.1,2018.0,2018.0,Male,M,25-29 years,25-29,25.0,316043.0,7.9,4.0,White,2106-3,27.0
Heroin,T40.1,2018.0,2018.0,Male,M,30-34 years,30-34,17.0,293688.0,Unreliable,4.0,White,2106-3,32.0
Heroin,T40.1,2018.0,2018.0,Male,M,35-39 years,35-39,15.0,267501.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2018.0,2018.0,Male,M,40-44 years,40-44,10.0,243588.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2018.0,2018.0,Male,M,45-49 years,45-49,20.0,251584.0,7.9,4.0,White,2106-3,47.0
Heroin,T40.1,2018.0,2018.0,Male,M,50-54 years,50-54,11.0,240878.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2018.0,2018.0,Male,M,55-59 years,55-59,15.0,225961.0,Unreliable,4.0,White,2106-3,57.0
Heroin,T40.1,2019.0,2019.0,Male,M,20-24 years,20-24,10.0,252380.0,Unreliable,4.0,White,2106-3,22.0
Heroin,T40.1,2019.0,2019.0,Male,M,25-29 years,25-29,19.0,310865.0,Unreliable,4.0,White,2106-3,27.0
Heroin,T40.1,2019.0,2019.0,Male,M,30-34 years,30-34,20.0,296541.0,6.7,4.0,White,2106-3,32.0
Heroin,T40.1,2019.0,2019.0,Male,M,35-39 years,35-39,26.0,267367.0,9.7,4.0,White,2106-3,37.0
Heroin,T40.1,2019.0,2019.0,Male,M,40-44 years,40-44,15.0,241097.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2019.0,2019.0,Male,M,45-49 years,45-49,16.0,244113.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2019.0,2019.0,Male,M,50-54 years,50-54,24.0,238062.0,10.1,4.0,White,2106-3,52.0
Heroin,T40.1,2019.0,2019.0,Male,M,55-59 years,55-59,18.0,226077.0,Unreliable,4.0,White,2106-3,57.0
Heroin,T40.1,2019.0,2019.0,Male,M,60-64 years ,60-64,17.0,193432.0,Unreliable,4.0,White,2106-3,62.0
Heroin,T40.1,2020.0,2020.0,Male,M,25-29 years,25-29,26.0,300645.0,8.6,4.0,White,2106-3,27.0
Heroin,T40.1,2020.0,2020.0,Male,M,30-34 years,30-34,40.0,300418.0,13.3,4.0,White,2106-3,32.0
Heroin,T40.1,2020.0,2020.0,Male,M,35-39 years,35-39,29.0,264966.0,10.9,4.0,White,2106-3,37.0
Heroin,T40.1,2020.0,2020.0,Male,M,40-44 years,40-44,17.0,240499.0,Unreliable,4.0,White,2106-3,42.0
Heroin,T40.1,2020.0,2020.0,Male,M,45-49 years,45-49,19.0,235955.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2020.0,2020.0,Male,M,50-54 years,50-54,23.0,237310.0,9.7,4.0,White,2106-3,52.0
Heroin,T40.1,2020.0,2020.0,Male,M,55-59 years,55-59,24.0,223598.0,10.7,4.0,White,2106-3,57.0
Heroin,T40.1,2020.0,2020.0,Male,M,60-64 years ,60-64,19.0,195537.0,Unreliable,4.0,White,2106-3,62.0
Other opioids,T40.2,1999.0,1999.0,Male,M,25-29 years,25-29,13.0,312946.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,1999.0,1999.0,Male,M,30-34 years,30-34,31.0,324047.0,9.6,4.0,White,2106-3,32.0
Other opioids,T40.2,1999.0,1999.0,Male,M,35-39 years,35-39,63.0,307330.0,20.5,4.0,White,2106-3,37.0
Other opioids,T40.2,1999.0,1999.0,Male,M,40-44 years,40-44,46.0,267468.0,17.2,4.0,White,2106-3,42.0
Other opioids,T40.2,1999.0,1999.0,Male,M,45-49 years,45-49,47.0,221053.0,21.3,4.0,White,2106-3,47.0
Other opioids,T40.2,1999.0,1999.0,Male,M,50-54 years,50-54,21.0,180161.0,11.7,4.0,White,2106-3,52.0
Other opioids,T40.2,1999.0,1999.0,Male,M,55-59 years,55-59,16.0,133738.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2000.0,2000.0,Male,M,45-49 years,45-49,10.0,29762.0,Unreliable,4.0,Black or African American,2054-5,47.0
Other opioids,T40.2,2000.0,2000.0,Male,M,30-34 years,30-34,26.0,319826.0,8.1,4.0,White,2106-3,32.0
Other opioids,T40.2,2000.0,2000.0,Male,M,35-39 years,35-39,28.0,306094.0,9.1,4.0,White,2106-3,37.0
Other opioids,T40.2,2000.0,2000.0,Male,M,40-44 years,40-44,38.0,271392.0,14.0,4.0,White,2106-3,42.0
Other opioids,T40.2,2000.0,2000.0,Male,M,45-49 years,45-49,25.0,226901.0,11.0,4.0,White,2106-3,47.0
Other opioids,T40.2,2000.0,2000.0,Male,M,50-54 years,50-54,17.0,185967.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2000.0,2000.0,Male,M,55-59 years,55-59,11.0,137679.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2001.0,2001.0,Male,M,45-49 years,45-49,14.0,30712.0,Unreliable,4.0,Black or African American,2054-5,47.0
Other opioids,T40.2,2001.0,2001.0,Male,M,35-39 years,35-39,21.0,304992.0,6.9,4.0,White,2106-3,37.0
Other opioids,T40.2,2001.0,2001.0,Male,M,40-44 years,40-44,24.0,277771.0,8.6,4.0,White,2106-3,42.0
Other opioids,T40.2,2001.0,2001.0,Male,M,45-49 years,45-49,30.0,233740.0,12.8,4.0,White,2106-3,47.0
Other opioids,T40.2,2001.0,2001.0,Male,M,50-54 years,50-54,21.0,195424.0,10.7,4.0,White,2106-3,52.0
Other opioids,T40.2,2001.0,2001.0,Male,M,55-59 years,55-59,10.0,143407.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2002.0,2002.0,Male,M,30-34 years,30-34,25.0,317806.0,7.9,4.0,White,2106-3,32.0
Other opioids,T40.2,2002.0,2002.0,Male,M,35-39 years,35-39,15.0,302457.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2002.0,2002.0,Male,M,40-44 years,40-44,44.0,281536.0,15.6,4.0,White,2106-3,42.0
Other opioids,T40.2,2002.0,2002.0,Male,M,45-49 years,45-49,36.0,240428.0,15.0,4.0,White,2106-3,47.0
Other opioids,T40.2,2002.0,2002.0,Male,M,50-54 years,50-54,39.0,196969.0,19.8,4.0,White,2106-3,52.0
Other opioids,T40.2,2002.0,2002.0,Male,M,55-59 years,55-59,13.0,153864.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2003.0,2003.0,Female,F,45-49 years,45-49,11.0,243806.0,Unreliable,4.0,White,2106-3,47.0
Other opioids,T40.2,2003.0,2003.0,Male,M,30-34 years,30-34,12.0,312096.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2003.0,2003.0,Male,M,35-39 years,35-39,23.0,300312.0,7.7,4.0,White,2106-3,37.0
Other opioids,T40.2,2003.0,2003.0,Male,M,40-44 years,40-44,27.0,284380.0,9.5,4.0,White,2106-3,42.0
Other opioids,T40.2,2003.0,2003.0,Male,M,45-49 years,45-49,32.0,245557.0,13.0,4.0,White,2106-3,47.0
Other opioids,T40.2,2003.0,2003.0,Male,M,50-54 years,50-54,31.0,201263.0,15.4,4.0,White,2106-3,52.0
Other opioids,T40.2,2004.0,2004.0,Male,M,30-34 years,30-34,11.0,302381.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2004.0,2004.0,Male,M,35-39 years,35-39,13.0,297568.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2004.0,2004.0,Male,M,40-44 years,40-44,28.0,286507.0,9.8,4.0,White,2106-3,42.0
Other opioids,T40.2,2004.0,2004.0,Male,M,45-49 years,45-49,23.0,249101.0,9.2,4.0,White,2106-3,47.0
Other opioids,T40.2,2004.0,2004.0,Male,M,50-54 years,50-54,12.0,207187.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2004.0,2004.0,Male,M,55-59 years,55-59,10.0,165763.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2005.0,2005.0,Male,M,25-29 years,25-29,11.0,297115.0,Unreliable,4.0,White,2106-3,27.0
Other opioids,T40.2,2005.0,2005.0,Male,M,30-34 years,30-34,12.0,289599.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2005.0,2005.0,Male,M,40-44 years,40-44,13.0,283595.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2005.0,2005.0,Male,M,45-49 years,45-49,25.0,253276.0,9.9,4.0,White,2106-3,47.0
Other opioids,T40.2,2005.0,2005.0,Male,M,50-54 years,50-54,19.0,213050.0,Unreliable,4.0,White,2106-3,52.0
Other opioids,T40.2,2006.0,2006.0,Male,M,35-39 years,35-39,16.0,292347.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2006.0,2006.0,Male,M,40-44 years,40-44,16.0,279150.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2006.0,2006.0,Male,M,45-49 years,45-49,20.0,255336.0,7.8,4.0,White,2106-3,47.0
Other opioids,T40.2,2006.0,2006.0,Male,M,50-54 years,50-54,21.0,217066.0,9.7,4.0,White,2106-3,52.0
Other opioids,T40.2,2006.0,2006.0,Male,M,55-59 years,55-59,12.0,178126.0,Unreliable,4.0,White,2106-3,57.0
Other opioids,T40.2,2007.0,2007.0,Male,M,35-39 years,35-39,11.0,286555.0,Unreliable,4.0,White,2106-3,37.0
Other opioids,T40.2,2007.0,2007.0,Male,M,40-44 years,40-44,14.0,273042.0,Unreliable,4.0,White,2106-3,42.0
Other opioids,T40.2,2007.0,2007.0,Male,M,45-49 years,45-49,23.0,255940.0,9.0,4.0,White,2106-3,47.0
Other opioids,T40.2,2007.0,2007.0,Male,M,50-54 years,50-54,23.0,221329.0,10.4,4.0,White,2106-3,52.0
