Census Region,Census Region Code,Year,Year Code,Gender,Gender Code,Single Race 6,Single Race 6 Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,age_midpoint
Census Region 3: South,CENS-R3,2021,2021,Male,M,White,2106-3,25-29 years,25-29,10,27525,Unreliable,27.0
Census Region 3: South,CENS-R3,2021,2021,Male,M,White,2106-3,30-34 years,30-34,28,27121,103.2,32.0
Census Region 3: South,CENS-R3,2021,2021,Male,M,White,2106-3,35-39 years,35-39,37,25364,145.9,37.0
Census Region 3: South,CENS-R3,2021,2021,Male,M,White,2106-3,40-44 years,40-44,51,25739,198.1,42.0
Census Region 3: South,CENS-R3,2021,2021,Male,M,White,2106-3,45-49 years,45-49,29,25336,114.5,47.0
Census Region 3: South,CENS-R3,2021,2021,Male,M,White,2106-3,50-54 years,50-54,35,25804,135.6,52.0
Census Region 3: South,CENS-R3,2021,2021,Male,M,White,2106-3,55-59 years,55-59,22,25379,86.7,57.0
Census Region 3: South,CENS-R3,2021,2021,Male,M,White,2106-3,60-64 years ,60-64,14,24641,Unreliable,62.0
Census Region 1: Northeast,CENS-R1,2018,2018,Female,F,White,2106-3,20-24 years,20-24,14,57092,Unreliable,22.0
Census Region 1: Northeast,CENS-R1,2018,2018,Female,F,White,2106-3,25-29 years,25-29,11,58859,Unreliable,27.0
Census Region 1: Northeast,CENS-R1,2018,2018,Female,F,White,2106-3,30-34 years,30-34,20,56732,35.3,32.0
Census Region 1: Northeast,CENS-R1,2018,2018,Female,F,White,2106-3,35-39 years,35-39,15,59301,Unreliable,37.0
Census Region 1: Northeast,CENS-R1,2018,2018,Female,F,White,2106-3,40-44 years,40-44,13,57882,Unreliable,42.0
Census Region 1: Northeast,CENS-R1,2018,2018,Female,F,White,2106-3,50-54 years,50-54,12,76434,Unreliable,52.0
Census Region 1: Northeast,CENS-R1,2018,2018,Female,F,White,2106-3,55-59 years,55-59,11,85153,Unreliable,57.0
Census Region 1: Northeast,CENS-R1,2018,2018,Male,M,White,2106-3,20-24 years,20-24,17,61536,Unreliable,22.0
Census Region 1: Northeast,CENS-R1,2018,2018,Male,M,White,2106-3,25-29 years,25-29,41,66310,61.8,27.0
Census Region 1: Northeast,CENS-R1,2018,2018,Male,M,White,2106-3,30-34 years,30-34,52,61713,84.3,32.0
Census Region 1: Northeast,CENS-R1,2018,2018,Male,M,White,2106-3,35-39 years,35-39,42,61542,68.2,37.0
Census Region 1: Northeast,CENS-R1,2018,2018,Male,M,White,2106-3,40-44 years,40-44,32,60136,53.2,42.0
Census Region 1: Northeast,CENS-R1,2018,2018,Male,M,White,2106-3,45-49 years,45-49,22,70880,31.0,47.0
Census Region 1: Northeast,CENS-R1,2018,2018,Male,M,White,2106-3,50-54 years,50-54,25,77833,32.1,52.0
Census Region 1: Northeast,CENS-R1,2018,2018,Male,M,White,2106-3,55-59 years,55-59,19,85429,Unreliable,57.0
Census Region 1: Northeast,CENS-R1,2019,2019,Female,F,White,2106-3,20-24 years,20-24,10,55581,Unreliable,22.0
Census Region 1: Northeast,CENS-R1,2019,2019,Female,F,White,2106-3,25-29 years,25-29,14,58570,Unreliable,27.0
Census Region 1: Northeast,CENS-R1,2019,2019,Female,F,White,2106-3,30-34 years,30-34,17,56828,Unreliable,32.0
Census Region 1: Northeast,CENS-R1,2019,2019,Female,F,White,2106-3,35-39 years,35-39,20,58956,33.9,37.0
Census Region 1: Northeast,CENS-R1,2019,2019,Female,F,White,2106-3,40-44 years,40-44,13,57812,Unreliable,42.0
Census Region 1: Northeast,CENS-R1,2019,2019,Female,F,White,2106-3,45-49 years,45-49,11,66746,Unreliable,47.0
Census Region 1: Northeast,CENS-R1,2019,2019,Female,F,White,2106-3,50-54 years,50-54,13,73822,Unreliable,52.0
Census Region 1: Northeast,CENS-R1,2019,2019,Female,F,White,2106-3,55-59 years,55-59,12,83764,Unreliable,57.0
Census Region 1: Northeast,CENS-R1,2019,2019,Male,M,White,2106-3,20-24 years,20-24,16,60081,Unreliable,22.0
Census Region 1: Northeast,CENS-R1,2019,2019,Male,M,White,2106-3,25-29 years,25-29,35,65474,53.5,27.0
Census Region 1: Northeast,CENS-R1,2019,2019,Male,M,White,2106-3,30-34 years,30-34,39,62233,62.7,32.0
Census Region 1: Northeast,CENS-R1,2019,2019,Male,M,White,2106-3,35-39 years,35-39,28,61448,45.6,37.0
Census Region 1: Northeast,CENS-R1,2019,2019,Male,M,White,2106-3,40-44 years,40-44,35,59883,58.4,42.0
Census Region 1: Northeast,CENS-R1,2019,2019,Male,M,White,2106-3,45-49 years,45-49,22,68086,32.3,47.0
Census Region 1: Northeast,CENS-R1,2019,2019,Male,M,White,2106-3,50-54 years,50-54,26,75164,34.6,52.0
Census Region 1: Northeast,CENS-R1,2019,2019,Male,M,White,2106-3,55-59 years,55-59,19,84258,Unreliable,57.0
Census Region 1: Northeast,CENS-R1,2019,2019,Male,M,White,2106-3,60-64 years ,60-64,11,84088,Unreliable,62.0
Census Region 1: Northeast,CENS-R1,2020,2020,Female,F,White,2106-3,20-24 years,20-24,14,54850,Unreliable,22.0
Census Region 1: Northeast,CENS-R1,2020,2020,Female,F,White,2106-3,25-29 years,25-29,18,57056,Unreliable,27.0
Census Region 1: Northeast,CENS-R1,2020,2020,Female,F,White,2106-3,30-34 years,30-34,15,57138,Unreliable,32.0
Census Region 1: Northeast,CENS-R1,2020,2020,Female,F,White,2106-3,35-39 years,35-39,24,58649,40.9,37.0
Census Region 1: Northeast,CENS-R1,2020,2020,Female,F,White,2106-3,40-44 years,40-44,25,58004,43.1,42.0
Census Region 1: Northeast,CENS-R1,2020,2020,Female,F,White,2106-3,50-54 years,50-54,13,72038,Unreliable,52.0
Census Region 1: Northeast,CENS-R1,2020,2020,Female,F,White,2106-3,55-59 years,55-59,13,82199,Unreliable,57.0
Census Region 1: Northeast,CENS-R1,2020,2020,Male,M,White,2106-3,20-24 years,20-24,21,59170,35.5,22.0
Census Region 1: Northeast,CENS-R1,2020,2020,Male,M,White,2106-3,25-29 years,25-29,37,63829,58.0,27.0
Census Region 1: Northeast,CENS-R1,2020,2020,Male,M,White,2106-3,30-34 years,30-34,64,62764,102.0,32.0
Census Region 1: Northeast,CENS-R1,2020,2020,Male,M,White,2106-3,35-39 years,35-39,49,60944,80.4,37.0
Census Region 1: Northeast,CENS-R1,2020,2020,Male,M,White,2106-3,40-44 years,40-44,37,60015,61.7,42.0
Census Region 1: Northeast,CENS-R1,2020,2020,Male,M,White,2106-3,45-49 years,45-49,26,64933,40.0,47.0
Census Region 1: Northeast,CENS-R1,2020,2020,Male,M,White,2106-3,50-54 years,50-54,23,73275,31.4,52.0
Census Region 1: Northeast,CENS-R1,2020,2020,Male,M,White,2106-3,55-59 years,55-59,21,82431,25.5,57.0
Census Region 1: Northeast,CENS-R1,2020,2020,Male,M,White,2106-3,60-64 years ,60-64,15,83871,Unreliable,62.0
Census Region 1: Northeast,CENS-R1,2021,2021,Female,F,White,2106-3,20-24 years,20-24,10,54468,Unreliable,22.0
Census Region 1: Northeast,CENS-R1,2021,2021,Female,F,White,2106-3,25-29 years,25-29,15,55559,Unreliable,27.0
Census Region 1: Northeast,CENS-R1,2021,2021,Female,F,White,2106-3,30-34 years,30-34,23,58013,39.6,32.0
Census Region 1: Northeast,CENS-R1,2021,2021,Female,F,White,2106-3,35-39 years,35-39,17,59133,Unreliable,37.0
Census Region 1: Northeast,CENS-R1,2021,2021,Female,F,White,2106-3,40-44 years,40-44,20,59487,33.6,42.0
Census Region 1: Northeast,CENS-R1,2021,2021,Female,F,White,2106-3,45-49 years,45-49,17,60917,Unreliable,47.0
Census Region 1: Northeast,CENS-R1,2021,2021,Female,F,White,2106-3,50-54 years,50-54,21,71963,29.2,52.0
Census Region 1: Northeast,CENS-R1,2021,2021,Female,F,White,2106-3,55-59 years,55-59,18,80576,Unreliable,57.0
Census Region 1: Northeast,CENS-R1,2021,2021,Female,F,White,2106-3,60-64 years ,60-64,13,84998,Unreliable,62.0
Census Region 1: Northeast,CENS-R1,2021,2021,Male,M,White,2106-3,20-24 years,20-24,27,59104,45.7,22.0
Census Region 1: Northeast,CENS-R1,2021,2021,Male,M,White,2106-3,25-29 years,25-29,58,61668,94.1,27.0
Census Region 1: Northeast,CENS-R1,2021,2021,Male,M,White,2106-3,30-34 years,30-34,69,63448,108.8,32.0
Census Region 1: Northeast,CENS-R1,2021,2021,Male,M,White,2106-3,35-39 years,35-39,73,62781,116.3,37.0
Census Region 1: Northeast,CENS-R1,2021,2021,Male,M,White,2106-3,40-44 years,40-44,67,62405,107.4,42.0
Census Region 1: Northeast,CENS-R1,2021,2021,Male,M,White,2106-3,45-49 years,45-49,47,63488,74.0,47.0
Census Region 1: Northeast,CENS-R1,2021,2021,Male,M,White,2106-3,50-54 years,50-54,41,74991,54.7,52.0
Census Region 1: Northeast,CENS-R1,2021,2021,Male,M,White,2106-3,55-59 years,55-59,49,82643,59.3,57.0
Census Region 1: Northeast,CENS-R1,2021,2021,Male,M,White,2106-3,60-64 years ,60-64,13,86160,Unreliable,62.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,Black or African American,2054-5,25-29 years,25-29,11,12723,Unreliable,27.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,White,2106-3,20-24 years,20-24,35,292495,12.0,22.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,White,2106-3,25-29 years,25-29,71,312099,22.7,27.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,White,2106-3,30-34 years,30-34,93,297285,31.3,32.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,White,2106-3,35-39 years,35-39,97,319590,30.4,37.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,White,2106-3,40-44 years,40-44,69,305733,22.6,42.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,White,2106-3,45-49 years,45-49,62,337885,18.3,47.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,White,2106-3,50-54 years,50-54,55,367281,15.0,52.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,White,2106-3,55-59 years,55-59,71,425420,16.7,57.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,White,2106-3,60-64 years ,60-64,21,416177,5.0,62.0
Census Region 2: Midwest,CENS-R2,2018,2018,Female,F,White,2106-3,65-69 years,65-69,12,360035,Unreliable,67.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,Black or African American,2054-5,35-39 years,35-39,11,20747,Unreliable,37.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,White,2106-3,20-24 years,20-24,59,317202,18.6,22.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,White,2106-3,25-29 years,25-29,155,335188,46.2,27.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,White,2106-3,30-34 years,30-34,149,311998,47.8,32.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,White,2106-3,35-39 years,35-39,161,328826,49.0,37.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,White,2106-3,40-44 years,40-44,120,315577,38.0,42.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,White,2106-3,45-49 years,45-49,103,348019,29.6,47.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,White,2106-3,50-54 years,50-54,77,372636,20.7,52.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,White,2106-3,55-59 years,55-59,97,422875,22.9,57.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,White,2106-3,60-64 years ,60-64,46,410737,11.2,62.0
Census Region 2: Midwest,CENS-R2,2018,2018,Male,M,White,2106-3,65-69 years,65-69,18,347288,Unreliable,67.0
Census Region 2: Midwest,CENS-R2,2019,2019,Female,F,White,2106-3,20-24 years,20-24,45,288740,15.6,22.0
Census Region 2: Midwest,CENS-R2,2019,2019,Female,F,White,2106-3,25-29 years,25-29,79,312129,25.3,27.0
Census Region 2: Midwest,CENS-R2,2019,2019,Female,F,White,2106-3,30-34 years,30-34,91,297841,30.6,32.0
Census Region 2: Midwest,CENS-R2,2019,2019,Female,F,White,2106-3,35-39 years,35-39,78,317895,24.5,37.0
Census Region 2: Midwest,CENS-R2,2019,2019,Female,F,White,2106-3,40-44 years,40-44,67,307509,21.8,42.0
Census Region 2: Midwest,CENS-R2,2019,2019,Female,F,White,2106-3,45-49 years,45-49,63,329872,19.1,47.0
Census Region 2: Midwest,CENS-R2,2019,2019,Female,F,White,2106-3,50-54 years,50-54,59,353099,16.7,52.0
Census Region 2: Midwest,CENS-R2,2019,2019,Female,F,White,2106-3,55-59 years,55-59,56,419202,13.4,57.0
Census Region 2: Midwest,CENS-R2,2019,2019,Female,F,White,2106-3,60-64 years ,60-64,32,418264,7.7,62.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,15-19 years,15-19,13,349697,Unreliable,17.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,20-24 years,20-24,66,313608,21.0,22.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,25-29 years,25-29,163,336027,48.5,27.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,30-34 years,30-34,179,312899,57.2,32.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,35-39 years,35-39,194,326283,59.5,37.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,40-44 years,40-44,132,317533,41.6,42.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,45-49 years,45-49,108,339110,31.8,47.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,50-54 years,50-54,98,359461,27.3,52.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,55-59 years,55-59,72,416427,17.3,57.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,60-64 years ,60-64,55,412098,13.3,62.0
Census Region 2: Midwest,CENS-R2,2019,2019,Male,M,White,2106-3,65-69 years,65-69,24,353404,6.8,67.0
Census Region 2: Midwest,CENS-R2,2020,2020,Female,F,White,2106-3,20-24 years,20-24,34,286256,11.9,22.0
Census Region 2: Midwest,CENS-R2,2020,2020,Female,F,White,2106-3,25-29 years,25-29,92,308176,29.9,27.0
Census Region 2: Midwest,CENS-R2,2020,2020,Female,F,White,2106-3,30-34 years,30-34,114,301010,37.9,32.0
Census Region 2: Midwest,CENS-R2,2020,2020,Female,F,White,2106-3,35-39 years,35-39,115,313460,36.7,37.0
Census Region 2: Midwest,CENS-R2,2020,2020,Female,F,White,2106-3,40-44 years,40-44,101,311316,32.4,42.0
Census Region 2: Midwest,CENS-R2,2020,2020,Female,F,White,2106-3,45-49 years,45-49,72,320177,22.5,47.0
Census Region 2: Midwest,CENS-R2,2020,2020,Female,F,White,2106-3,50-54 years,50-54,60,344703,17.4,52.0
Census Region 2: Midwest,CENS-R2,2020,2020,Female,F,White,2106-3,55-59 years,55-59,58,408916,14.2,57.0
Census Region 2: Midwest,CENS-R2,2020,2020,Female,F,White,2106-3,60-64 years ,60-64,32,419294,7.6,62.0
Census Region 2: Midwest,CENS-R2,2020,2020,Female,F,White,2106-3,65-69 years,65-69,13,374283,Unreliable,67.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,Black or African American,2054-5,25-29 years,25-29,10,26331,Unreliable,27.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,Black or African American,2054-5,30-34 years,30-34,11,24286,Unreliable,32.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,Black or African American,2054-5,35-39 years,35-39,18,20449,Unreliable,37.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,Black or African American,2054-5,45-49 years,45-49,11,16136,Unreliable,47.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,15-19 years,15-19,23,345107,6.7,17.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,20-24 years,20-24,101,311527,32.4,22.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,25-29 years,25-29,219,332607,65.8,27.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,30-34 years,30-34,272,314984,86.4,32.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,35-39 years,35-39,252,322307,78.2,37.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,40-44 years,40-44,184,320967,57.3,42.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,45-49 years,45-49,143,328640,43.5,47.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,50-54 years,50-54,134,352154,38.1,52.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,55-59 years,55-59,120,404447,29.7,57.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,60-64 years ,60-64,74,412478,17.9,62.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,65-69 years,65-69,22,361323,6.1,67.0
Census Region 2: Midwest,CENS-R2,2020,2020,Male,M,White,2106-3,70-74 years,70-74,11,285601,Unreliable,72.0
Census Region 2: Midwest,CENS-R2,2021,2021,Female,F,White,2106-3,20-24 years,20-24,37,285862,12.9,22.0
Census Region 2: Midwest,CENS-R2,2021,2021,Female,F,White,2106-3,25-29 years,25-29,92,300256,30.6,27.0
Census Region 2: Midwest,CENS-R2,2021,2021,Female,F,White,2106-3,30-34 years,30-34,124,308010,40.3,32.0
Census Region 2: Midwest,CENS-R2,2021,2021,Female,F,White,2106-3,35-39 years,35-39,125,314504,39.7,37.0
Census Region 2: Midwest,CENS-R2,2021,2021,Female,F,White,2106-3,40-44 years,40-44,110,319983,34.4,42.0
Census Region 2: Midwest,CENS-R2,2021,2021,Female,F,White,2106-3,45-49 years,45-49,74,310675,23.8,47.0
Census Region 2: Midwest,CENS-R2,2021,2021,Female,F,White,2106-3,50-54 years,50-54,80,346088,23.1,52.0
Census Region 2: Midwest,CENS-R2,2021,2021,Female,F,White,2106-3,55-59 years,55-59,71,396709,17.9,57.0
Census Region 2: Midwest,CENS-R2,2021,2021,Female,F,White,2106-3,60-64 years ,60-64,39,421450,9.3,62.0
Census Region 2: Midwest,CENS-R2,2021,2021,Female,F,White,2106-3,65-69 years,65-69,16,379017,Unreliable,67.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,Black or African American,2054-5,20-24 years,20-24,10,24189,Unreliable,22.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,Black or African American,2054-5,25-29 years,25-29,12,26266,Unreliable,27.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,Black or African American,2054-5,30-34 years,30-34,20,25868,77.3,32.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,Black or African American,2054-5,35-39 years,35-39,12,21744,Unreliable,37.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,Black or African American,2054-5,40-44 years,40-44,14,19735,Unreliable,42.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,Black or African American,2054-5,45-49 years,45-49,13,16908,Unreliable,47.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,Black or African American,2054-5,50-54 years,50-54,14,14796,Unreliable,52.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,Black or African American,2054-5,55-59 years,55-59,12,12860,Unreliable,57.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,15-19 years,15-19,20,354762,5.6,17.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,20-24 years,20-24,86,311929,27.6,22.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,25-29 years,25-29,214,322049,66.4,27.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,30-34 years,30-34,280,321310,87.1,32.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,35-39 years,35-39,287,329199,87.2,37.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,40-44 years,40-44,224,335752,66.7,42.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,45-49 years,45-49,164,325313,50.4,47.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,50-54 years,50-54,116,363250,31.9,52.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,55-59 years,55-59,120,402549,29.8,57.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,60-64 years ,60-64,83,424773,19.5,62.0
Census Region 2: Midwest,CENS-R2,2021,2021,Male,M,White,2106-3,65-69 years,65-69,31,374524,8.3,67.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,Black or African American,2054-5,50-54 years,50-54,12,143888,Unreliable,52.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,20-24 years,20-24,36,541593,6.6,22.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,25-29 years,25-29,81,613689,13.2,27.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,30-34 years,30-34,98,565405,17.3,32.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,35-39 years,35-39,104,589971,17.6,37.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,40-44 years,40-44,112,578255,19.4,42.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,45-49 years,45-49,128,640570,20.0,47.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,50-54 years,50-54,130,656300,19.8,52.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,55-59 years,55-59,103,713759,14.4,57.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,60-64 years ,60-64,69,697810,9.9,62.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,65-69 years,65-69,30,628839,4.8,67.0
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,70-74 years,70-74,14,543723,Unreliable,72.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,Black or African American,2054-5,25-29 years,25-29,14,183930,Unreliable,27.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,Black or African American,2054-5,30-34 years,30-34,10,150004,Unreliable,32.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,Black or African American,2054-5,35-39 years,35-39,17,139262,Unreliable,37.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,Black or African American,2054-5,40-44 years,40-44,13,124160,Unreliable,42.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,Black or African American,2054-5,45-49 years,45-49,12,126493,Unreliable,47.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,Black or African American,2054-5,50-54 years,50-54,11,130846,Unreliable,52.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,Black or African American,2054-5,55-59 years,55-59,10,134362,Unreliable,57.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,15-19 years,15-19,18,642845,Unreliable,17.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,20-24 years,20-24,89,599708,14.8,22.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,25-29 years,25-29,174,654447,26.6,27.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,30-34 years,30-34,208,587738,35.4,32.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,35-39 years,35-39,226,601487,37.6,37.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,40-44 years,40-44,206,587866,35.0,42.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,45-49 years,45-49,192,643905,29.8,47.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,50-54 years,50-54,137,654816,20.9,52.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,55-59 years,55-59,142,691759,20.5,57.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,60-64 years ,60-64,78,656576,11.9,62.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,65-69 years,65-69,32,576849,5.5,67.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,70-74 years,70-74,12,485960,Unreliable,72.0
Census Region 3: South,CENS-R3,2019,2019,Female,F,Black or African American,2054-5,25-29 years,25-29,12,158310,Unreliable,27.0
Census Region 3: South,CENS-R3,2019,2019,Female,F,Black or African American,2054-5,40-44 years,40-44,10,127416,Unreliable,42.0
Census Region 3: South,CENS-R3,2019,2019,Female,F,White,2106-3,20-24 years,20-24,39,539864,7.2,22.0
Census Region 3: South,CENS-R3,2019,2019,Female,F,White,2106-3,25-29 years,25-29,83,607380,13.7,27.0
