"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	0	62440	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	0	261161	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	0	326348	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"10-14 years"	"10-14"	0	330937	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	0	335668	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	0	364414	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	0	412952	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	0	351700	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	0	337553	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	0	303774	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	0	312576	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	0	305598	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	0	312275	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	0	278171	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	0	218932	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	0	152415	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	0	105548	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	0	71227	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"< 1 year"	"1"	0	1028	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"1-4 years"	"1-4"	0	4522	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"5-9 years"	"5-9"	0	5409	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"10-14 years"	"10-14"	0	5610	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"15-19 years"	"15-19"	0	5048	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"20-24 years"	"20-24"	0	5213	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"25-29 years"	"25-29"	0	5895	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"30-34 years"	"30-34"	0	6060	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"35-39 years"	"35-39"	0	5714	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"40-44 years"	"40-44"	0	4724	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"45-49 years"	"45-49"	0	4294	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"50-54 years"	"50-54"	0	4139	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"55-59 years"	"55-59"	0	3891	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"60-64 years "	"60-64"	0	3376	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"65-69 years"	"65-69"	0	2472	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"70-74 years"	"70-74"	0	1696	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"75-79 years"	"75-79"	0	1087	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"80-84 years"	"80-84"	0	714	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"< 1 year"	"1"	0	243696	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"1-4 years"	"1-4"	0	993671	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"5-9 years"	"5-9"	0	1251000	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"10-14 years"	"10-14"	0	1295384	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"15-19 years"	"15-19"	0	1319632	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"20-24 years"	"20-24"	0	1407748	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	0	1569887	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	0	1511105	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	0	1453577	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	0	1314819	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"45-49 years"	"45-49"	0	1400592	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"50-54 years"	"50-54"	0	1449894	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"55-59 years"	"55-59"	0	1598289	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"60-64 years "	"60-64"	0	1537320	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"65-69 years"	"65-69"	0	1337822	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"70-74 years"	"70-74"	0	1081497	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"75-79 years"	"75-79"	0	775723	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"80-84 years"	"80-84"	0	542804	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"< 1 year"	"1"	0	22445	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"1-4 years"	"1-4"	0	88047	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"5-9 years"	"5-9"	0	109061	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"10-14 years"	"10-14"	0	100132	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"15-19 years"	"15-19"	0	84159	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"20-24 years"	"20-24"	0	75949	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"25-29 years"	"25-29"	0	69708	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"30-34 years"	"30-34"	0	54394	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"35-39 years"	"35-39"	0	47986	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"40-44 years"	"40-44"	0	38818	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"45-49 years"	"45-49"	0	33898	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"50-54 years"	"50-54"	0	28555	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"55-59 years"	"55-59"	0	27382	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"60-64 years "	"60-64"	0	22334	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"65-69 years"	"65-69"	0	16469	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"70-74 years"	"70-74"	0	11674	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"75-79 years"	"75-79"	0	7616	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"80-84 years"	"80-84"	0	4489	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"More than one race"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	0	5258	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	0	22662	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"5-9 years"	"5-9"	0	27794	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"10-14 years"	"10-14"	0	27774	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"15-19 years"	"15-19"	0	26586	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	0	26935	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"25-29 years"	"25-29"	0	30428	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"30-34 years"	"30-34"	0	28199	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"35-39 years"	"35-39"	0	25570	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	0	22353	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	0	20828	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	0	19036	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	0	17671	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	0	14530	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"65-69 years"	"65-69"	0	10367	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"70-74 years"	"70-74"	0	7139	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"75-79 years"	"75-79"	0	4155	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"80-84 years"	"80-84"	0	2175	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"< 1 year"	"1"	0	15057	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"1-4 years"	"1-4"	0	65085	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"5-9 years"	"5-9"	0	81345	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"10-14 years"	"10-14"	0	81446	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"15-19 years"	"15-19"	0	84105	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"20-24 years"	"20-24"	0	108488	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"25-29 years"	"25-29"	0	122151	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"30-34 years"	"30-34"	0	119158	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"35-39 years"	"35-39"	0	106403	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"40-44 years"	"40-44"	0	93187	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"45-49 years"	"45-49"	0	89525	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"50-54 years"	"50-54"	0	75654	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"55-59 years"	"55-59"	0	67593	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"60-64 years "	"60-64"	0	60751	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"65-69 years"	"65-69"	0	50167	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"70-74 years"	"70-74"	0	35776	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"75-79 years"	"75-79"	0	23753	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"80-84 years"	"80-84"	0	14740	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Male"	"M"	"Asian"	"A"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
