Multiple Cause of death,Multiple Cause of death Code,Year,Year Code,Gender,Gender Code,Race,Race Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,socioec quintile,age_midpoint,LifeYearsLostUnit,LifeYearsLostTotal
Heroin,T40.1,1999,1999,Female,F,White,2106-3,30-34 years,30-34,5,1537128,0.325281954398072,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,1999,1999,Female,F,White,2106-3,35-39 years,35-39,5,1766234,0.283088197826562,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,1999,1999,Female,F,White,2106-3,40-44 years,40-44,5,1767976,0.282809268904103,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,1999,1999,Female,F,White,2106-3,45-49 years,45-49,5,1632050,0.306363162893294,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,1999,1999,Female,F,White,2106-3,50-54 years,50-54,5,1490243,0.335515751457984,1,52,31.6580081521774,158.290040760887
Heroin,T40.1,1999,1999,Female,F,White,2106-3,60-64 years,60-64,5,1110748,0.450147108074919,1,62,23.0873624933524,115.436812466762
Heroin,T40.1,1999,1999,Male,M,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,35256,14.1819832085319,1,32,45.9927274726265,229.963637363133
Heroin,T40.1,1999,1999,Male,M,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,35281,14.1719339021003,1,42,36.9334609258006,184.667304629003
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,20-24 years,20-24,5,368480,1.35692574902301,1,22,55.1913987984765,275.956993992383
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,25-29 years,25-29,5,340672,1.46768739432651,1,27,50.5686570810089,252.843285405045
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,30-34 years,30-34,5,335413,1.49069952565941,1,32,45.9927274726265,229.963637363133
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,35-39 years,35-39,5,357432,1.39886747689071,1,37,41.4408819963671,207.204409981836
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,45-49 years,45-49,5,290513,1.72109337620003,1,47,32.4736866990161,162.36843349508
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,50-54 years,50-54,5,221851,2.25376491428932,1,52,28.1587713717446,140.793856858723
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,55-59 years,55-59,5,161102,3.10362379113853,1,57,24.069470321073,120.347351605365
Heroin,T40.1,1999,1999,Male,M,Black or African American,2054-5,60-64 years,60-64,5,130357,3.83562064177605,1,62,20.2400880199447,101.200440099724
Heroin,T40.1,1999,1999,Male,M,White,2106-3,10-14 years,10-14,5,1745706,0.286417071373988,1,12,64.8176243226832,324.088121613416
Heroin,T40.1,1999,1999,Male,M,White,2106-3,15-19 years,15-19,5,1793867,0.278727464187702,1,17,59.906118084933,299.530590424665
Heroin,T40.1,1999,1999,Male,M,White,2106-3,20-24 years,20-24,5,1522475,0.328412617612769,1,22,55.1913987984765,275.956993992383
Heroin,T40.1,1999,1999,Male,M,White,2106-3,35-39 years,35-39,31,1798937,1.72324,1,37,41.4408819963671,1284.66734188738
Heroin,T40.1,1999,1999,Male,M,White,2106-3,40-44 years,40-44,35,1785666,1.960053,1,42,36.9334609258006,1292.67113240302
Heroin,T40.1,1999,1999,Male,M,White,2106-3,45-49 years,45-49,22,1632081,1.347972,1,47,32.4736866990161,714.421107378354
Heroin,T40.1,1999,1999,Male,M,White,2106-3,55-59 years,55-59,5,1196089,0.418029093152767,1,57,24.069470321073,120.347351605365
Heroin,T40.1,1999,1999,Male,M,White,2106-3,60-64 years,60-64,5,1032570,0.484228672148135,1,62,20.2400880199447,101.200440099724
Heroin,T40.1,1999,1999,Male,M,White,2106-3,65-69 years,65-69,5,907460,0.550988473321138,1,67,16.6502815284512,83.251407642256
Heroin,T40.1,2000,2000,Female,F,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,37016,13.5076723578993,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,25-29 years,25-29,5,350864,1.42505358201468,1,27,55.0931361669851,275.465680834925
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,30-34 years,30-34,5,356490,1.40256388678504,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,35-39 years,35-39,5,388670,1.28643836673785,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,40-44 years,40-44,5,386111,1.2949644014286,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,45-49 years,45-49,5,337032,1.4835386550832,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,2000,2000,Female,F,Black or African American,2054-5,55-59 years,55-59,5,201650,2.47954376394743,1,57,27.2793120597075,136.396560298538
Heroin,T40.1,2000,2000,Female,F,White,2106-3,25-29 years,25-29,5,1455114,0.343615689217477,1,27,55.0931361669851,275.465680834925
Heroin,T40.1,2000,2000,Female,F,White,2106-3,30-34 years,30-34,5,1522292,0.328452097232331,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,2000,2000,Female,F,White,2106-3,35-39 years,35-39,5,1740799,0.287224429701534,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,2000,2000,Female,F,White,2106-3,40-44 years,40-44,5,1773746,0.281889289672817,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,2000,2000,Female,F,White,2106-3,45-49 years,45-49,5,1651947,0.30267314871482,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,2000,2000,Female,F,White,2106-3,50-54 years,50-54,5,1529318,0.326943121051345,1,52,31.6580081521774,158.290040760887
Heroin,T40.1,2000,2000,Female,F,White,2106-3,55-59 years,55-59,5,1283282,0.389625974649376,1,57,27.2793120597075,136.396560298538
Heroin,T40.1,2000,2000,Male,M,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,37193,13.4433898851934,1,32,45.9927274726265,229.963637363133
Heroin,T40.1,2000,2000,Male,M,American Indian or Alaska Native,1002-5,35-39 years,35-39,5,40699,12.2853141354824,1,37,41.4408819963671,207.204409981836
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,15-19 years,15-19,5,434549,1.15061822717346,1,17,59.906118084933,299.530590424665
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,20-24 years,20-24,5,375763,1.33062595306084,1,22,55.1913987984765,275.956993992383
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,30-34 years,30-34,5,334412,1.49516165687834,1,32,45.9927274726265,229.963637363133
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,35-39 years,35-39,5,356703,1.4017263661926,1,37,41.4408819963671,207.204409981836
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,45-49 years,45-49,20,299299,6.682281,1,47,32.4736866990161,649.473733980322
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,50-54 years,50-54,5,235181,2.12602208511742,1,52,28.1587713717446,140.793856858723
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,55-59 years,55-59,5,165691,3.01766541332963,1,57,24.069470321073,120.347351605365
Heroin,T40.1,2000,2000,Male,M,Black or African American,2054-5,60-64 years,60-64,5,132774,3.76579752059891,1,62,20.2400880199447,101.200440099724
Heroin,T40.1,2000,2000,Male,M,White,2106-3,15-19 years,15-19,5,1788639,0.279542154677383,1,17,59.906118084933,299.530590424665
Heroin,T40.1,2000,2000,Male,M,White,2106-3,20-24 years,20-24,5,1545963,0.323423005595865,1,22,55.1913987984765,275.956993992383
Heroin,T40.1,2000,2000,Male,M,White,2106-3,35-39 years,35-39,26,1772824,1.466587,1,37,41.4408819963671,1077.46293190554
Heroin,T40.1,2000,2000,Male,M,White,2106-3,40-44 years,40-44,45,1794061,2.508276,1,42,36.9334609258006,1662.00574166102
Heroin,T40.1,2000,2000,Male,M,White,2106-3,45-49 years,45-49,33,1656297,1.992396,1,47,32.4736866990161,1071.63166106753
Heroin,T40.1,2000,2000,Male,M,White,2106-3,55-59 years,55-59,5,1223277,0.40873816805188,1,57,24.069470321073,120.347351605365
Heroin,T40.1,2000,2000,Male,M,White,2106-3,80-84 years,80-84,5,365444,1.36819868434015,1,82,7.30592113876811,36.5296056938406
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,30-34 years,30-34,5,352768,1.41736211901306,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,35-39 years,35-39,5,381453,1.31077747455126,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,40-44 years,40-44,5,388892,1.28570400008229,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,45-49 years,45-49,5,346938,1.44117969204872,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,50-54 years,50-54,5,291082,1.71772902481088,1,52,31.6580081521774,158.290040760887
Heroin,T40.1,2001,2001,Female,F,Black or African American,2054-5,70-74 years,70-74,5,139591,3.58189281543939,1,72,15.1930969969904,75.9654849849522
Heroin,T40.1,2001,2001,Female,F,White,2106-3,15-19 years,15-19,5,1647488,0.303492347136975,1,17,64.8199054204098,324.099527102049
Heroin,T40.1,2001,2001,Female,F,White,2106-3,20-24 years,20-24,5,1506262,0.331947562907383,1,22,59.9352050495816,299.676025247908
Heroin,T40.1,2001,2001,Female,F,White,2106-3,25-29 years,25-29,5,1390973,0.359460607790374,1,27,55.0931361669851,275.465680834925
Heroin,T40.1,2001,2001,Female,F,White,2106-3,30-34 years,30-34,5,1517589,0.329469968482903,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,2001,2001,Female,F,White,2106-3,35-39 years,35-39,5,1682038,0.297258444815159,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,2001,2001,Female,F,White,2106-3,40-44 years,40-44,5,1783717,0.280313525071522,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,2001,2001,Female,F,White,2106-3,45-49 years,45-49,5,1683696,0.296965723028385,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,2001,2001,Female,F,White,2106-3,55-59 years,55-59,5,1306069,0.382828166046357,1,57,27.2793120597075,136.396560298538
Heroin,T40.1,2001,2001,Male,M,American Indian or Alaska Native,1002-5,30-34 years,30-34,5,37220,13.4336378291241,1,32,45.9927274726265,229.963637363133
Heroin,T40.1,2001,2001,Male,M,American Indian or Alaska Native,1002-5,45-49 years,45-49,5,33211,15.0552527776941,1,47,32.4736866990161,162.36843349508
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,20-24 years,20-24,5,391320,1.27772666871103,1,22,55.1913987984765,275.956993992383
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,25-29 years,25-29,5,326646,1.53070908567685,1,27,50.5686570810089,252.843285405045
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,30-34 years,30-34,5,330245,1.51402746445821,1,32,45.9927274726265,229.963637363133
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,35-39 years,35-39,5,351718,1.42159343565015,1,37,41.4408819963671,207.204409981836
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,50-54 years,50-54,5,255906,1.95384242651599,1,52,28.1587713717446,140.793856858723
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,55-59 years,55-59,5,172891,2.89199553475889,1,57,24.069470321073,120.347351605365
Heroin,T40.1,2001,2001,Male,M,Black or African American,2054-5,60-64 years,60-64,5,136105,3.67363432643915,1,62,20.2400880199447,101.200440099724
Heroin,T40.1,2001,2001,Male,M,White,2106-3,15-19 years,15-19,5,1780038,0.280892879814925,1,17,59.906118084933,299.530590424665
Heroin,T40.1,2001,2001,Male,M,White,2106-3,35-39 years,35-39,30,1718583,1.745624,1,37,41.4408819963671,1243.22645989101
Heroin,T40.1,2001,2001,Male,M,White,2106-3,40-44 years,40-44,31,1802965,1.71939,1,42,36.9334609258006,1144.93728869982
Heroin,T40.1,2001,2001,Male,M,White,2106-3,45-49 years,45-49,31,1689526,1.834834,1,47,32.4736866990161,1006.6842876695
Heroin,T40.1,2001,2001,Male,M,White,2106-3,55-59 years,55-59,5,1251215,0.399611577546625,1,57,24.069470321073,120.347351605365
Heroin,T40.1,2001,2001,Male,M,White,2106-3,60-64 years,60-64,5,1061274,0.47113186604025,1,62,20.2400880199447,101.200440099724
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,20-24 years,20-24,5,394130,1.26861695379697,1,22,59.9352050495816,299.676025247908
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,30-34 years,30-34,5,349912,1.42893070257665,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,35-39 years,35-39,5,372328,1.34290195741389,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,40-44 years,40-44,5,386558,1.29346695709311,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,45-49 years,45-49,5,357427,1.39888704546663,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,50-54 years,50-54,5,300639,1.6631242120949,1,52,31.6580081521774,158.290040760887
Heroin,T40.1,2002,2002,Female,F,Black or African American,2054-5,55-59 years,55-59,5,221182,2.26058178332776,1,57,27.2793120597075,136.396560298538
Heroin,T40.1,2002,2002,Female,F,White,2106-3,15-19 years,15-19,5,1635935,0.305635615106957,1,17,64.8199054204098,324.099527102049
Heroin,T40.1,2002,2002,Female,F,White,2106-3,20-24 years,20-24,5,1539906,0.324695143729552,1,22,59.9352050495816,299.676025247908
Heroin,T40.1,2002,2002,Female,F,White,2106-3,25-29 years,25-29,5,1367080,0.365743043567311,1,27,55.0931361669851,275.465680834925
Heroin,T40.1,2002,2002,Female,F,White,2106-3,30-34 years,30-34,5,1515307,0.329966138874829,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,2002,2002,Female,F,White,2106-3,35-39 years,35-39,5,1634978,0.305814512488853,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,2002,2002,Female,F,White,2106-3,40-44 years,40-44,5,1774473,0.28177379988312,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,2002,2002,Female,F,White,2106-3,45-49 years,45-49,5,1718317,0.290982397310857,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,2002,2002,Female,F,White,2106-3,50-54 years,50-54,5,1589053,0.314652815230203,1,52,31.6580081521774,158.290040760887
Heroin,T40.1,2002,2002,Male,M,American Indian or Alaska Native,1002-5,55-59 years,55-59,5,21850,22.883295194508,1,57,24.069470321073,120.347351605365
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,20-24 years,20-24,5,402677,1.24168998974364,1,22,55.1913987984765,275.956993992383
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,30-34 years,30-34,5,329608,1.51695347200311,1,32,45.9927274726265,229.963637363133
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,35-39 years,35-39,5,343861,1.45407592021195,1,37,41.4408819963671,207.204409981836
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,40-44 years,40-44,5,351460,1.42263699994309,1,42,36.9334609258006,184.667304629003
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,55-59 years,55-59,5,185746,2.6918480074941,1,57,24.069470321073,120.347351605365
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,60-64 years,60-64,5,140153,3.56752977103594,1,62,20.2400880199447,101.200440099724
Heroin,T40.1,2002,2002,Male,M,Black or African American,2054-5,65-69 years,65-69,5,114665,4.36052849605372,1,67,16.6502815284512,83.251407642256
Heroin,T40.1,2002,2002,Male,M,White,2106-3,15-19 years,15-19,5,1772412,0.282101452709641,1,17,59.906118084933,299.530590424665
Heroin,T40.1,2002,2002,Male,M,White,2106-3,20-24 years,20-24,21,1631419,1.287223,1,22,55.1913987984765,1159.01937476801
Heroin,T40.1,2002,2002,Male,M,White,2106-3,30-34 years,30-34,20,1571556,1.272624,1,32,45.9927274726265,919.85454945253
Heroin,T40.1,2002,2002,Male,M,White,2106-3,35-39 years,35-39,23,1673046,1.374738,1,37,41.4408819963671,953.140285916443
Heroin,T40.1,2002,2002,Male,M,White,2106-3,40-44 years,40-44,33,1795425,1.838005,1,42,36.9334609258006,1218.80421055142
Heroin,T40.1,2002,2002,Male,M,White,2106-3,45-49 years,45-49,32,1723758,1.856409,1,47,32.4736866990161,1039.15797436851
Heroin,T40.1,2002,2002,Male,M,White,2106-3,55-59 years,55-59,5,1342279,0.372500799014214,1,57,24.069470321073,120.347351605365
Heroin,T40.1,2002,2002,Male,M,White,2106-3,60-64 years,60-64,5,1095342,0.456478433219944,1,62,20.2400880199447,101.200440099724
Heroin,T40.1,2002,2002,Male,M,White,2106-3,65-69 years,65-69,5,929270,0.538056754226436,1,67,16.6502815284512,83.251407642256
Heroin,T40.1,2002,2002,Male,M,White,2106-3,70-74 years,70-74,5,797643,0.626846847524519,1,72,13.2264780885543,66.1323904427715
Heroin,T40.1,2002,2002,Male,M,White,2106-3,80-84 years,80-84,5,390210,1.28136131826452,1,82,7.30592113876811,36.5296056938406
Heroin,T40.1,2003,2003,Female,F,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,43167,11.5829221395974,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,2003,2003,Female,F,Black or African American,2054-5,25-29 years,25-29,5,330059,1.5148806728494,1,27,55.0931361669851,275.465680834925
Heroin,T40.1,2003,2003,Female,F,Black or African American,2054-5,30-34 years,30-34,5,346266,1.44397659602733,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,2003,2003,Female,F,Black or African American,2054-5,35-39 years,35-39,5,362880,1.37786596119929,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,2003,2003,Female,F,Black or African American,2054-5,45-49 years,45-49,5,365362,1.36850575593521,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,2003,2003,Female,F,Black or African American,2054-5,50-54 years,50-54,5,310531,1.6101452028944,1,52,31.6580081521774,158.290040760887
Heroin,T40.1,2003,2003,Female,F,White,2106-3,15-19 years,15-19,5,1636570,0.305517026463885,1,17,64.8199054204098,324.099527102049
Heroin,T40.1,2003,2003,Female,F,White,2106-3,20-24 years,20-24,5,1558526,0.320815950455751,1,22,59.9352050495816,299.676025247908
Heroin,T40.1,2003,2003,Female,F,White,2106-3,25-29 years,25-29,5,1363356,0.366742068836019,1,27,55.0931361669851,275.465680834925
Heroin,T40.1,2003,2003,Female,F,White,2106-3,30-34 years,30-34,5,1505209,0.332179783671238,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,2003,2003,Female,F,White,2106-3,35-39 years,35-39,5,1588180,0.314825775415885,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,2003,2003,Female,F,White,2106-3,40-44 years,40-44,5,1765457,0.283212788530109,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,2003,2003,Female,F,White,2106-3,45-49 years,45-49,5,1744822,0.28656218227418,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,2003,2003,Female,F,White,2106-3,50-54 years,50-54,5,1608226,0.310901577265882,1,52,31.6580081521774,158.290040760887
Heroin,T40.1,2003,2003,Male,M,American Indian or Alaska Native,1002-5,35-39 years,35-39,5,39767,12.5732391178615,1,37,41.4408819963671,207.204409981836
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,20-24 years,20-24,5,409338,1.22148444561707,1,22,55.1913987984765,275.956993992383
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,25-29 years,25-29,5,321778,1.55386633020281,1,27,50.5686570810089,252.843285405045
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,30-34 years,30-34,5,327386,1.52724917986719,1,32,45.9927274726265,229.963637363133
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,35-39 years,35-39,5,336138,1.48748430704056,1,37,41.4408819963671,207.204409981836
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,40-44 years,40-44,5,349885,1.42904097060463,1,42,36.9334609258006,184.667304629003
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,50-54 years,50-54,5,274568,1.82104251041636,1,52,28.1587713717446,140.793856858723
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,55-59 years,55-59,5,197876,2.52683498756797,1,57,24.069470321073,120.347351605365
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,60-64 years,60-64,5,145762,3.43024931051989,1,62,20.2400880199447,101.200440099724
Heroin,T40.1,2003,2003,Male,M,Black or African American,2054-5,65-69 years,65-69,5,116351,4.29734166444637,1,67,16.6502815284512,83.251407642256
Heroin,T40.1,2003,2003,Male,M,White,2106-3,15-19 years,15-19,5,1766521,0.283042205555439,1,17,59.906118084933,299.530590424665
Heroin,T40.1,2003,2003,Male,M,White,2106-3,20-24 years,20-24,5,1652510,0.302570029833405,1,22,55.1913987984765,275.956993992383
Heroin,T40.1,2003,2003,Male,M,White,2106-3,30-34 years,30-34,22,1557602,1.412428,1,32,45.9927274726265,1011.84000439778
Heroin,T40.1,2003,2003,Male,M,White,2106-3,35-39 years,35-39,24,1628860,1.473423,1,37,41.4408819963671,994.581167912811
Heroin,T40.1,2003,2003,Male,M,White,2106-3,40-44 years,40-44,43,1785581,2.40818,1,42,36.9334609258006,1588.13881980942
Heroin,T40.1,2003,2003,Male,M,White,2106-3,45-49 years,45-49,37,1753347,2.11025,1,47,32.4736866990161,1201.52640786359
Heroin,T40.1,2003,2003,Male,M,White,2106-3,50-54 years,50-54,24,1594640,1.505042,1,52,28.1587713717446,675.810512921869
Heroin,T40.1,2003,2003,Male,M,White,2106-3,55-59 years,55-59,5,1389953,0.359724393558631,1,57,24.069470321073,120.347351605365
Heroin,T40.1,2003,2003,Male,M,White,2106-3,60-64 years,60-64,5,1142842,0.43750579695181,1,62,20.2400880199447,101.200440099724
Heroin,T40.1,2003,2003,Male,M,White,2106-3,65-69 years,65-69,5,952425,0.524975719872956,1,67,16.6502815284512,83.251407642256
Heroin,T40.1,2004,2004,Female,F,Black or African American,2054-5,40-44 years,40-44,5,382779,1.30623675802487,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,2004,2004,Female,F,Black or African American,2054-5,45-49 years,45-49,5,370394,1.34991387549474,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,2004,2004,Female,F,Black or African American,2054-5,50-54 years,50-54,5,321216,1.55658497708707,1,52,31.6580081521774,158.290040760887
Heroin,T40.1,2004,2004,Female,F,Black or African American,2054-5,55-59 years,55-59,5,247772,2.01798427586652,1,57,27.2793120597075,136.396560298538
Heroin,T40.1,2004,2004,Female,F,White,2106-3,20-24 years,20-24,5,1560127,0.320486729605987,1,22,59.9352050495816,299.676025247908
Heroin,T40.1,2004,2004,Female,F,White,2106-3,25-29 years,25-29,5,1381637,0.36188955565029,1,27,55.0931361669851,275.465680834925
Heroin,T40.1,2004,2004,Female,F,White,2106-3,30-34 years,30-34,5,1481403,0.337517880009694,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,2004,2004,Female,F,White,2106-3,35-39 years,35-39,5,1548536,0.322885615833277,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,2004,2004,Female,F,White,2106-3,40-44 years,40-44,5,1758221,0.284378357441983,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,2004,2004,Female,F,White,2106-3,45-49 years,45-49,5,1759268,0.284209114245243,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,2004,2004,Female,F,White,2106-3,50-54 years,50-54,5,1636726,0.305487906955715,1,52,31.6580081521774,158.290040760887
Heroin,T40.1,2004,2004,Female,F,White,2106-3,55-59 years,55-59,5,1492511,0.335005906154126,1,57,27.2793120597075,136.396560298538
Heroin,T40.1,2004,2004,Female,F,White,2106-3,60-64 years,60-64,5,1255001,0.398406057046967,1,62,23.0873624933524,115.436812466762
