,foundation,granteeName,county,state,zipCode,grantedAmt,addressLine1,fips
65,BILL & MELINDA GATES FOUNDATION,AFRICAN DEVELOPMENT SOLUTIONS (ADESO),,,,400000.0,,
66,BILL & MELINDA GATES FOUNDATION,AFRICAN DEVELOPMENT SOLUTIONS (ADESO),,,,420000.0,,
67,BILL & MELINDA GATES FOUNDATION,AFRICAN DIASPORA NETWORK,Santa Clara County,CA,95054,50000.0,4701 PATRICK HENRY DR BLDG 25,06085
68,BILL & MELINDA GATES FOUNDATION,AFRICAN ECONOMIC RESEARCH CONSORTIUM,,,,300000.0,,
69,BILL & MELINDA GATES FOUNDATION,AFRICAN ECONOMIC RESEARCH CONSORTIUM,,,,1281891.0,,
70,BILL & MELINDA GATES FOUNDATION,AFRICAN FERTILIZER AND AGRIBUSINESSES PARTNERSHIP INC,Essex County,NJ,07102,2004513.0,50 PARK PLACE SUITE 1003,34013
71,BILL & MELINDA GATES FOUNDATION,AFRICAN FIELD EPIDEMIOLOGY NETWORK,,,,2097686.0,,
72,BILL & MELINDA GATES FOUNDATION,AFRICAN FIELD EPIDEMIOLOGY NETWORK,,,,12919713.0,,
73,BILL & MELINDA GATES FOUNDATION,AFRICAN FIELD EPIDEMIOLOGY NETWORK,,,,187866.0,,
74,BILL & MELINDA GATES FOUNDATION,AFRICAN FIELD EPIDEMIOLOGY NETWORK,,,,6930000.0,,
75,BILL & MELINDA GATES FOUNDATION,AFRICAN FIELD EPIDEMIOLOGY NETWORK,,,,1000000.0,,
76,BILL & MELINDA GATES FOUNDATION,AFRICAN FIELD EPIDEMIOLOGY NETWORK,,,,600000.0,,
77,BILL & MELINDA GATES FOUNDATION,AFRICAN FIELD EPIDEMIOLOGY NETWORK,,,,1056744.0,,
78,BILL & MELINDA GATES FOUNDATION,AFRICAN FIELD EPIDEMIOLOGY NETWORK,,,,300598.0,,
79,BILL & MELINDA GATES FOUNDATION,AFRICAN FIELD EPIDEMIOLOGY NETWORK,,,,901044.0,,
80,BILL & MELINDA GATES FOUNDATION,AFRICAN FORUM AND NETWORK ON DEBT AND DEVELOPMENT TRUST,,,,345000.0,,
81,BILL & MELINDA GATES FOUNDATION,AFRICAN HEALTH ECONOMICS AND POLICY ASSOCIATION,,,,300000.0,,
82,BILL & MELINDA GATES FOUNDATION,AFRICAN INSTITUTE FOR DEVELOPMENT POLICY,,,,1670000.0,,
83,BILL & MELINDA GATES FOUNDATION,AFRICAN INSTITUTE OF BIOMEDICAL SCIENCE AND TECHNOLOGY,,,,215257.0,,
84,BILL & MELINDA GATES FOUNDATION,AFRICAN LEADERS MALARIA ALLIANCE INC,Queens County,NY,11413,800001.0,PO BOX 447 229-19 MERRICK BLVD,36081
85,BILL & MELINDA GATES FOUNDATION,AFRICAN LEADERS MALARIA ALLIANCE INC,Queens County,NY,11413,2849748.0,PO BOX 447 229-19 MERRICK BLVD,36081
86,BILL & MELINDA GATES FOUNDATION,AFRICAN LEADERS MALARIA ALLIANCE INC,Queens County,NY,11413,1500055.0,PO BOX 447 229-19 MERRICK BLVD,36081
87,BILL & MELINDA GATES FOUNDATION,AFRICAN LEGAL SUPPORT FACILITY,,,,535991.0,,
88,BILL & MELINDA GATES FOUNDATION,AFRICAN MINISTERS' COUNCIL ON WATER,,,,200000.0,,
89,BILL & MELINDA GATES FOUNDATION,AFRICAN POPULATION AND HEALTH RESEARCH CENTER INC,,,,500000.0,,
90,BILL & MELINDA GATES FOUNDATION,AFRICAN POPULATION AND HEALTH RESEARCH CENTER INC,,,,1530916.0,,
91,BILL & MELINDA GATES FOUNDATION,AFRICAN POPULATION AND HEALTH RESEARCH CENTER INC,,,,45000.0,,
92,BILL & MELINDA GATES FOUNDATION,AFRICAN POPULATION AND HEALTH RESEARCH CENTER INC,,,,600000.0,,
93,BILL & MELINDA GATES FOUNDATION,AFRICAN POPULATION AND HEALTH RESEARCH CENTER INC,,,,890568.0,,
94,BILL & MELINDA GATES FOUNDATION,AFRICAN POPULATION AND HEALTH RESEARCH CENTER INC,,,,764988.0,,
95,BILL & MELINDA GATES FOUNDATION,AFRICAN POPULATION AND HEALTH RESEARCH CENTER INC,,,,86207.0,,
96,BILL & MELINDA GATES FOUNDATION,AFRICAN POPULATION AND HEALTH RESEARCH CENTER INC,,,,1576624.0,,
97,BILL & MELINDA GATES FOUNDATION,AFRICAN RESEARCH COLLABORATION FOR HEALTH LIMITED,,,,258301.0,,
98,BILL & MELINDA GATES FOUNDATION,AFRICAN RESEARCH COLLABORATION FOR HEALTH LIMITED,,,,142017.0,,
99,BILL & MELINDA GATES FOUNDATION,AFRICAN RESEARCH COLLABORATION FOR HEALTH LIMITED,,,,250000.0,,
100,BILL & MELINDA GATES FOUNDATION,AFRICAN RESEARCH COLLABORATION FOR HEALTH LIMITED,,,,220694.0,,
101,BILL & MELINDA GATES FOUNDATION,AFRICAN RESEARCH COLLABORATION FOR HEALTH LIMITED,,,,51018.0,,
102,BILL & MELINDA GATES FOUNDATION,AFRICAN SEED TRADE ASSOCIATION (AFSTA),,,,171430.0,,
103,BILL & MELINDA GATES FOUNDATION,AFRICAN SOCIETY FOR LABORATORY MEDICINE,,,,919646.0,,
104,BILL & MELINDA GATES FOUNDATION,AFRICAN SOCIETY FOR LABORATORY MEDICINE,,,,1983976.0,,
105,BILL & MELINDA GATES FOUNDATION,AFRICAN SOCIETY FOR LABORATORY MEDICINE,,,,2188103.0,,
106,BILL & MELINDA GATES FOUNDATION,AFRICAN SOCIETY FOR LABORATORY MEDICINE,,,,577333.0,,
107,BILL & MELINDA GATES FOUNDATION,AFRICAN SOCIETY FOR LABORATORY MEDICINE,,,,562000.0,,
108,BILL & MELINDA GATES FOUNDATION,AFRICAN SOCIETY FOR LABORATORY MEDICINE,,,,3536119.0,,
109,BILL & MELINDA GATES FOUNDATION,AFRICAN UNION,,,,350000.0,,
110,BILL & MELINDA GATES FOUNDATION,AFRICAN WATER ASSOCIATION,,,,750000.0,,
111,BILL & MELINDA GATES FOUNDATION,AFRICAN WOMEN'S DEVELOPMENT AND COMMUNICATION NETWORK,,,,243795.0,,
112,BILL & MELINDA GATES FOUNDATION,AFROBAROMETER,,,,500000.0,,
113,BILL & MELINDA GATES FOUNDATION,AGA KHAN FOUNDATION,,,,1000000.0,,
114,BILL & MELINDA GATES FOUNDATION,AGA KHAN FOUNDATION,,,,69595.0,,
115,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,307005.0,,
116,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,650000.0,,
117,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,174712.0,,
118,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,923208.0,,
119,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,643917.0,,
120,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,713659.0,,
121,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,851526.0,,
122,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,312911.0,,
123,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,230000.0,,
124,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,1070639.0,,
125,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,1791757.0,,
126,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,132300.0,,
127,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,2130478.0,,
128,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,214586.0,,
129,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,800000.0,,
130,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,988314.0,,
131,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,2772203.0,,
132,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,136509.0,,
133,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,2015798.0,,
134,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,500000.0,,
135,BILL & MELINDA GATES FOUNDATION,AGA KHAN UNIVERSITY,,,,800000.0,,
136,BILL & MELINDA GATES FOUNDATION,AGBIOME INC,Durham County,NC,27709,1084258.0,104 T W ALEXANDER DRIVE BUILDING 1,37063
137,BILL & MELINDA GATES FOUNDATION,AGBIOME INC,Durham County,NC,27709,679011.0,104 T W ALEXANDER DRIVE BUILDING 1,37063
138,BILL & MELINDA GATES FOUNDATION,AGENCE DE FORMATION DE RECHERCHE ET D'EXPERTISE EN SANTE POUR L'AFRIQUE,,,,343034.0,,
139,BILL & MELINDA GATES FOUNDATION,AGENCE FRANCAISE DE DEVELOPPEMENT,,,,6952991.0,,
140,BILL & MELINDA GATES FOUNDATION,AGING IN PACE WASHINGTON,King County,WA,98114,250000.0,PO BOX 3007,53033
141,BILL & MELINDA GATES FOUNDATION,AGNES SCOTT COLLEGE,DeKalb County,GA,30030,146994.0,141 EAST COLLEGE AVENUE,13089
142,BILL & MELINDA GATES FOUNDATION,AGRICULTURAL INFO INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES,,,,170410.0,,
143,BILL & MELINDA GATES FOUNDATION,AGRICULTURAL TRANSFORMATION AGE THE,,,,1638480.0,,
144,BILL & MELINDA GATES FOUNDATION,AGRICULTURAL TRANSFORMATION AGE THE,,,,598556.0,,
145,BILL & MELINDA GATES FOUNDATION,AGRICULTURAL TRANSFORMATION AGE THE,,,,1985600.0,,
146,BILL & MELINDA GATES FOUNDATION,AICCU RESEARCH FOUNDATION,Sacramento County,CA,95814,300000.0,1121 L STREET SUITE 802,06067
147,BILL & MELINDA GATES FOUNDATION,AIDS VACCINE ADVOCACY COALITION,New York County,NY,10027,3300000.0,423 WEST 127TH STREET 4TH FLOOR,36061
148,BILL & MELINDA GATES FOUNDATION,AIDS VACCINE ADVOCACY COALITION,New York County,NY,10027,2700000.0,423 WEST 127TH STREET 4TH FLOOR,36061
149,BILL & MELINDA GATES FOUNDATION,AIDS VACCINE ADVOCACY COALITION,New York County,NY,10027,721726.0,423 WEST 127TH STREET 4TH FLOOR,36061
150,BILL & MELINDA GATES FOUNDATION,AIR TUTORS LLC,San Joaquin County,CA,95212,397884.0,2830 SEBASTAN LANE,06077
151,BILL & MELINDA GATES FOUNDATION,AIT BIOSCIENCE LLC,Marion County,IN,46278,116500.0,7840 INNOVATION BOULEVARD,18097
152,BILL & MELINDA GATES FOUNDATION,AKHTER HAMEED KHAN RESOURCE CENTER,,,,791030.0,,
153,BILL & MELINDA GATES FOUNDATION,AKROS INC,Albany County,WY,82073,50000.0,BOX 457,56001
154,BILL & MELINDA GATES FOUNDATION,ALAN TURING INSTITUTE THE,,,,1381973.0,,
155,BILL & MELINDA GATES FOUNDATION,ALBERT B SABIN VACCINE INSTITUTE INC THE,District of Columbia,DC,20037,107131.0,2175 K STREET NW SUITE 400,11001
156,BILL & MELINDA GATES FOUNDATION,ALBERT B SABIN VACCINE INSTITUTE INC THE,District of Columbia,DC,20037,97422.0,2175 K STREET NW SUITE 400,11001
157,BILL & MELINDA GATES FOUNDATION,ALBERT B SABIN VACCINE INSTITUTE INC THE,District of Columbia,DC,20037,2122933.0,2175 K STREET NW SUITE 400,11001
158,BILL & MELINDA GATES FOUNDATION,ALBERT B SABIN VACCINE INSTITUTE INC THE,District of Columbia,DC,20037,1016551.0,2175 K STREET NW SUITE 400,11001
159,BILL & MELINDA GATES FOUNDATION,ALBERT B SABIN VACCINE INSTITUTE INC THE,District of Columbia,DC,20037,300000.0,2175 K STREET NW SUITE 400,11001
160,BILL & MELINDA GATES FOUNDATION,ALBERT B SABIN VACCINE INSTITUTE INC THE,District of Columbia,DC,20037,40000.0,2175 K STREET NW SUITE 400,11001
161,BILL & MELINDA GATES FOUNDATION,ALBERT B SABIN VACCINE INSTITUTE INC THE,District of Columbia,DC,20037,350000.0,2175 K STREET NW SUITE 400,11001
162,BILL & MELINDA GATES FOUNDATION,ALBERT B SABIN VACCINE INSTITUTE INC THE,District of Columbia,DC,20037,222833.0,2175 K STREET NW SUITE 400,11001
163,BILL & MELINDA GATES FOUNDATION,ALBERT EINSTEIN COLLEGE OF MEDICINE,Bronx County,NY,10461,372662.0,1300 MORRIS PARK AVENUE,36005
164,BILL & MELINDA GATES FOUNDATION,ALBERT SHANKER INSTITUTE,District of Columbia,DC,20001,120531.0,555 NEW JERSEY AVENUE NORTHWEST,11001
165,BILL & MELINDA GATES FOUNDATION,ALDER GRADUATE SCHOOL OF EDUCATION,San Mateo County,CA,94062,200000.0,2946 BROADWAY,06081
166,BILL & MELINDA GATES FOUNDATION,ALERE INC,Middlesex County,MA,02453,592552.0,51 SAWYER RD,25017
167,BILL & MELINDA GATES FOUNDATION,ALL INDIA INSTITUTE OF MEDICAL SCIENCES,,,,254857.0,,
168,BILL & MELINDA GATES FOUNDATION,ALL INDIA INSTITUTE OF MEDICAL SCIENCES,,,,361086.0,,
169,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR A GREEN REVOLUTION IN AFRICA,,,,1200000.0,,
170,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR A GREEN REVOLUTION IN AFRICA,,,,31500000.0,,
171,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR A GREEN REVOLUTION IN AFRICA,,,,150000.0,,
172,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR A GREEN REVOLUTION IN AFRICA,,,,75000.0,,
173,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR EARLY SUCCESS,Johnson County,KS,66206,450000.0,PO BOX 6756,20091
174,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR EARLY SUCCESS,Johnson County,KS,66206,60711.0,PO BOX 6756,20091
175,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR EDUCATION,King County,WA,98101,150000.0,509 OLIVE WAY SUITE 500,53033
176,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR EDUCATION,King County,WA,98101,100000.0,509 OLIVE WAY SUITE 500,53033
177,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR EXCELLENT EDUCATION INC,District of Columbia,DC,20036,958000.0,1201 CONNECTICUT AVE NW SUITE 901,11001
178,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR FINANCIAL INCLUSION,,,,1600000.0,,
179,BILL & MELINDA GATES FOUNDATION,ALLIANCE FOR INNOVATIVE REGULATION INSTITUTE,District of Columbia,DC,20003,164475.0,1331 4TH STREET SE 905,11001
180,BILL & MELINDA GATES FOUNDATION,ALLIANCE TO END HUNGER,District of Columbia,DC,20024,400000.0,425 3RD ST SW SUITE 1200,11001
181,BILL & MELINDA GATES FOUNDATION,ALMAC SCIENCES LIMITED,,,,745690.0,,
182,BILL & MELINDA GATES FOUNDATION,ALVEO TECHNOLOGIES INC,Alameda County,CA,94501,200000.0,1000 ATLANTIC AVE SUITE 114,06001
183,BILL & MELINDA GATES FOUNDATION,AMALGAMATED CHARITABLE FOUNDATION INC,District of Columbia,DC,20006,468977.0,1825 K STREET NW,11001
184,BILL & MELINDA GATES FOUNDATION,AMERICA ACHIEVES INC,New York County,NY,10001,200000.0,100 WEST 33RD STREET SUITE 917,36061
185,BILL & MELINDA GATES FOUNDATION,AMERICA ACHIEVES INC,New York County,NY,10001,2500000.0,100 WEST 33RD STREET SUITE 917,36061
186,BILL & MELINDA GATES FOUNDATION,AMERICA NEEDS YOU,New York County,NY,10038,25000.0,82 NASSAU STREET 60358,36061
187,BILL & MELINDA GATES FOUNDATION,AMERICAN ASSOCIATION OF COLLEGIATE REGISTRARS AND ADMISSIONS OFFICERS,District of Columbia,DC,20036,500000.0,1108 16TH ST NW UNIT 400,11001
188,BILL & MELINDA GATES FOUNDATION,AMERICAN ASSOCIATION OF COMMUNITY COLLEGES,District of Columbia,DC,20036,273077.0,ONE DUPONT CIRCLE NW SUITE 410,11001
189,BILL & MELINDA GATES FOUNDATION,AMERICAN ASSOCIATION OF COMMUNITY COLLEGES,District of Columbia,DC,20036,223953.0,ONE DUPONT CIRCLE NW SUITE 410,11001
190,BILL & MELINDA GATES FOUNDATION,AMERICAN ASSOCIATION OF STATE COLLEGES AND UNIVERSITIES,District of Columbia,DC,20036,100000.0,1717 RHODE ISLAND AVENUE NW SUITE,11001
191,BILL & MELINDA GATES FOUNDATION,AMERICAN ASSOCIATION OF STATE COLLEGES AND UNIVERSITIES,District of Columbia,DC,20036,363401.0,1717 RHODE ISLAND AVENUE NW SUITE,11001
192,BILL & MELINDA GATES FOUNDATION,AMERICAN ASSOCIATION OF STATE COLLEGES AND UNIVERSITIES,District of Columbia,DC,20036,155000.0,1717 RHODE ISLAND AVENUE NW SUITE,11001
193,BILL & MELINDA GATES FOUNDATION,AMERICAN ASSOCIATION OF STATE COLLEGES AND UNIVERSITIES,District of Columbia,DC,20036,175000.0,1717 RHODE ISLAND AVENUE NW SUITE,11001
194,BILL & MELINDA GATES FOUNDATION,AMERICAN ASSOCIATION OF STATE COLLEGES AND UNIVERSITIES,District of Columbia,DC,20036,1157543.0,1717 RHODE ISLAND AVENUE NW SUITE,11001
195,BILL & MELINDA GATES FOUNDATION,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,District of Columbia,DC,20036,250000.0,1789 MASSACHUSETTS AVE NW,11001
196,BILL & MELINDA GATES FOUNDATION,AMERICAN FRIENDS OF EDELGIVE FOUNDATION,New York County,NY,10017,150000.0,450 LEXINGTON AVENUE 4TH FLOOR,36061
197,BILL & MELINDA GATES FOUNDATION,AMERICAN GEOPHYSICAL UNION,District of Columbia,DC,20009,10000.0,2000 FLORIDA AVE NW,11001
198,BILL & MELINDA GATES FOUNDATION,AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM,Alexandria city,VA,22314,900474.0,121 ORONOCO STREET,51510
199,BILL & MELINDA GATES FOUNDATION,AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM,Alexandria city,VA,22314,100000.0,121 ORONOCO STREET,51510
200,BILL & MELINDA GATES FOUNDATION,AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM,Alexandria city,VA,22314,150000.0,121 ORONOCO STREET,51510
201,BILL & MELINDA GATES FOUNDATION,AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM,Alexandria city,VA,22314,225000.0,121 ORONOCO STREET,51510
202,BILL & MELINDA GATES FOUNDATION,AMERICAN INSTITUTE OF CHEMICAL ENGINEERS,New York County,NY,10005,200000.0,120 WALL STREET 23 FL,36061
203,BILL & MELINDA GATES FOUNDATION,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,Arlington County,VA,22202,330270.0,1400 CRYSTAL DRIVE 10TH FLOOR,51013
